estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,documents,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,error_traceback
OpenAIAPI:gpt-4o-2024-08-06,Are there any stewardesses who speak Japanese?,['Are there flight attendants who speak Japanese?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d398c35b0>,31.76215203205584,60.57693263872327,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه مضيفات يتكلمون ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"Coffee with cream and sugar, please.","['Coffee with cream and sugar, please.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802df0>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة و السكر، لو سمحت.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Is there any stewardess who speaks Japanese?,['Is there a flight attendant who speaks Japanese?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802f40>,40.35278637463991,61.768819267387556,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه مضيفة تتكلم ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I lost my claim tag.,['I lost the receipt.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802e20>,17.965205598154213,25.111476225914338,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nضيعت علامة الاستلام.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Let's get together to discuss this further.,"[""Let's meet to discuss this further.""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802e50>,53.417359568998464,67.19454964884436,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخلنا نجتمع عشان نناقش هذا اكثر.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I want to see the harbor.,['I want to see the port.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802310>,55.780028607687655,67.42333511310899,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nابغى اشوف الميناء.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Where's the nearest chemist?,['Where is the nearest pharmacy?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d398023a0>,20.612390921238426,49.448850581948726,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوين اقرب صيدلي؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I think it's scenic.,"[""I think it's theatrical.""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802280>,41.11336169005198,56.203430943610144,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاعتقد انه مسرحي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,What is playing at the concert hall today?,['What is being played today in the concert hall?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802ac0>,21.36435031981171,60.56821433860888,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوش ينعزف اليوم في قاعة الاحتفالات؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Take me to the hospital.,['Take me to the hospital.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39802b50>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخذني للمستشفى.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
