estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,documents,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,Are there any stewardesses who speak Japanese?,['Is there a flight attendant who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3dfea0d0>,8.913765521398126,41.41214285542487,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفي شي مضيفات بيحكوا ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"Coffee with cream and sugar, please.","['A coffee with cream and sugar, please.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df770a0>,72.59795291154772,92.96290667219833,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقهوة مع كريما وسكر، لو سمحت.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Is there any stewardess who speaks Japanese?,['Is there a flight attendant who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e760>,40.35278637463991,61.768819267387556,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفي شي مضيفة بتحكي ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I lost my claim tag.,['I lost my receipt.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04ec70>,32.46679154750991,41.54928171114026,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nضيعت بطاقة الاستلام تبعي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Let's get together to discuss this further.,"[""Let's meet to discuss this topic in more detail.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e400>,22.03359678996931,44.092019664419105,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخلينا نلتقي لناقش هالموضوع بشكل أوسع.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I want to see the harbor.,['I want to see the harbor.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04efa0>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبدي شوف الميناء.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Where's the nearest chemist?,['Where is the nearest pharmacy?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04ebb0>,20.612390921238426,49.448850581948726,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوين أقرب صيدلي؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I think it's scenic.,"[""I think it's really pretty.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e3a0>,54.10822690539397,52.34966557229143,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nشايفه كتير حلو.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,What is playing at the concert hall today?,['What piece will be performed in the concert hall today?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04edf0>,36.72056269893591,57.16016901512961,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nشو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Take me to the hospital.,['Take me to the hospital.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e460>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخدني عالمستشفى.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"Oh, it's nothing. You're here, anyway.","[""No, it's not a problem. You're here anyway.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04eeb0>,44.80304273880272,58.080844873609706,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nلا، مو مشكلة. أنت هون، على كل حال.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"You were supposed to take flight eight two zero, which took off fifteen minutes ago. All right. I can arrange another flight for you.","['You were supposed to travel on Flight 82 0, which took off a quarter of an hour ago. No problem. I can arrange another flight for you.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e8e0>,41.28802907068476,59.22644490778028,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nكنت المفروض تسافر برحلة رقم تمانة اتنين صفر، يللي أقلعت من ربع ساعة. مو مشكلة. فيني دبرلك رحلة تانية.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,The tooth is loose.,['The tooth is loose.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f970>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nالسن عم يتحرك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"A non-smoking seat, please.","['A non-smoking seat, please.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f910>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمقعد لغير المدخنين، رجاءً.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,How much are fresh mushrooms?,['How much are the fresh mushrooms?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f820>,59.694917920196445,88.96076554523374,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبأديش الفطر التازا؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"If possible, I'd rather not have the tooth out.","[""If it's possible, thank you very much.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f730>,7.175377580688497,27.15008099242145,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nإذا في إمكان، بفضل ما ينقلع السن.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,We'd like a room overlooking the lake.,['We want a room overlooking the lake.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f6a0>,64.069143843707,74.85844245423003,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبدنا غرفة بتطل عالبحيرة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"I understand, but I can't say it.","[""I understood, but I can't tell him.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f1c0>,49.616830003403614,56.05687550838889,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفهمت، بس ما بقدر قوله.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I'm looking for some cards that are typically Hawaiian.,"[""I'm looking for Hawaii-themed greeting cards.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fcd0>,30.115405721522926,41.93433519499273,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعم دور على كروت موديل هاواي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"Excuse me. Press the shutter, please.",['Sorry. Please press the shutter button.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f160>,18.04438612975343,44.38620747755754,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعفواً. اكبيس زر التصوير، لو سمحت.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Bonsai sounds like an old person's hobby.,['Bonsai indeed is a hobby for an elderly person.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fc40>,8.91376552139813,32.447906071863976,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبونساي شكلها هواية شخص كبير بالعمر.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Can I have a multiple ticket?,['Can you give me a multi-ride ticket?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f850>,8.913765521398126,45.41978751645149,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nممكن تعطيني تذكرة متعددة؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"I'd like some apples, please.","[""I'd like some apples, please.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f4f0>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبدي شوية تفاح، لو سمحت.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,You did it.,['You did this.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fca0>,35.35533905932737,53.18176550534304,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nأنت عملت هالشي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,A hundred and thirty-five yen per dollar.,['One hundred and thirty-five yen to the dollar.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fbb0>,61.153805769010226,74.75755670343302,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمية وخمسة وتلاتين ين لكل دولار.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Is it still fully booked?,['Is it all still booked?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f1f0>,32.17294420803808,51.59445486681017,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nلساته كله محجوز؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,What's today's opera?,"[""What's the opera of the day?""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f310>,20.164945583740657,42.65563260268337,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nشو هية أوبرة اليوم؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I'd like two round-trip tickets to Oxford.,['I want two return tickets to Oxford.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f0a0>,27.855256475695366,50.6753715112807,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nبدي تذكرتين روحة رجعة على أوكسفورد.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Where can I buy a coupon lift ticket?,['Where can I buy a discounted crane ticket?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fac0>,36.462858619364674,60.35151151554391,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمن وين فيني اشتري تذكرة رافعة عليها حسم؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Have you ever heard of a Golden Week in Japan?,['Have you ever heard of Golden Week in Japan?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fb50>,71.0866788975034,89.37059550816045,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nسمعت من قبل بالاسبوع الدهبي باليابان؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,It's all the way down the hall.,"[""He's at the back of the hall.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0fa30>,20.556680845025987,35.95372681719173,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nهو بآخر القاعة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"Tell me a good spot of this river, please.","['Show me a nice spot by this river, please.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f0d0>,41.72261448611506,56.52299563141062,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nدلني على مكان ظريف من هالنهر، إذا سمحت.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Our hiking trip should be lots of fun.,"[""We'll have so much fun on our hiking trip.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f340>,13.065113298388567,38.46766072795188,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nرح نتسلى كتير برحلة المشي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Could you send it to my address in Japan by collect international parcel post?,['Could you send it to my address in Japan via the parcel post service?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f070>,61.47881529512643,65.89884755284926,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nممكن تبعتها على عنواني باليابان عن طريق خدمة جمع الطرد البريدي؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"The emergency exits are located in the front, middle, and back of this plane.","['Emergency exits are located at the front, middle, and rear of the plane.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f4c0>,41.682189465797684,67.96475309145794,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمخارج الطوارء موجودة بأول هي الطيارة، وبنصها، وبآخرها.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I'm looking for something dressy.,"[""I'm looking for something nice.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f670>,62.401954419369176,74.75669900163174,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعم دور على شي مرتب.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Okay. I'll pick you up at your hotel at eight o'clock.,"[""Okay. I'll pick you up from the hotel at eight.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0feb0>,47.32901678120695,64.69888164024172,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاوك. رح اجي آخدك من الأوتيل عالساعة تمانة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,What street is this?,['Which street is this?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f490>,66.87403049764218,74.886476073148,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nأنو شارع هاد؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,August twenty-ninth.,['Twenty-nine August.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3df0f760>,8.643019616048525,53.851183567197715,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nتسعة وعشرين آب.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
