acc,prob,macro_prob,dialectness,score,macro_score,_raw_turns,desired_output_dialect,generations
1.0,0.98179030418396,0.994236592494417,0.009420645423233509,0.009249098335685657,0.009366350404693809,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عاود اكتب هاد الفراز باش تكون بلو ابروبري: ""USER المافيا الجيعانه والحقاره دايما لازملها الضرب وشنهي في اي ملعب في دزاير البوليس ديما يطغي ويحقر خلينا مالسيد قادر نتا تكون داخل لليتاد يبدي يضرب علي جيه URL اما بالنسبه للانديه العاصمه هاذهك معروفين بذاك الشي""'}]}]",dza,"['""يا مستخدم، المافيا الجائعة والقذرة تحتاج دائماً إلى الضرب، وفي أي ملعب في الجزائر، فإن الشرطة تسيطر عليه وتحتقر الناس. السيد قادر هو من يبدأ الضرب في الملعب، و URL هو ضحية لهذا الأمر. وبالنسبة لأندية العاصمة، فهذه هي سمعتهم في هذا الشأن.""']"
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""حسب اجواء اليوم تاع الامتحان غدوا نبدا نصوم باه نتعود علي اجواء الراتراباج الي راح يجي في رمضان هه p"" اكتب ريبونس تكون فيهاهاد الفراز هي الصح'}]}]",dza,['هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه']
1.0,0.9719549417495728,0.9839972963090986,0.00677371583878994,0.006583746583519234,0.006665318071335418,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد: ""اذا عن نفس الجزائر لي انا ساكنه فيها فانيس ما رفع راسها بل مرفوع برجالها الحقيقيين و نسائها الحرائر وليس برخيص مثله #انيس_رافع_راس_الجزاير""'}]}]",dza,['من خلال ترجمة النص الذي قدمته، يبدو أنه يتعلق بمناقشة حول شخص يدعى أنيس ورأيه في الجزائر، حيث يقول الكاتب أن الجزائر لا ترفع رأسها بأشخاص مثل أنيس، بل برجالها الحقيقيين ونسائها الشجعان.  يمكن أن يكون التطبيق المقصود من هذا التعليق هو التعبير عن الفخر بالجزائر وشعبها الحقيقي والشجاع، وع']
1.0,0.9904376864433289,0.9969861271674745,0.7611926794052124,0.7539139163276971,0.7588985414684357,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'اكتب ريبونس تكون فيهاهاد الفراز هي الصح: ""USER انا ما نشجع لا كنزه لا سهيله بصح كي نشوف جزايري يدل راسه يغيضني URL تدعمها ولا متدعمهاش هي URL لا للتحلاب""'}]}]",dza,['أنا ما نشجع لا كنزه لا سهيله بصح كي نشوف جزائري يندل راسو يقلقني، هاذي هي الحقيقة المرة. أما بالنسبة لURL، إذا كانت تدعم هاذو اللي يندلو رؤوسهم فهاذي مصيبة، و إذا كانت ما تدعمهومش فهاذي مصيبة أكبر. في كل الأحوال، أنا ضد التحلاب و التملق، و']
1.0,0.01914413459599018,0.07916072942316532,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER متي تحشمي يالكلبه و تبطلي تنسبي الراي و الاغاني الجزائريه الي المغرب"" ريبوندي علا هاد سوجي'}]}]",dza,['أنا جدا آسف على ما ورد في الرسالة، نحن لا نتسامح مع أي شكل من أشكال اللغة العدائية أو المهينة المستخدمة ضد أي شخص أو كيان. \nالموسيقى والفن هما لغة عالمية تمجد ثقافة كل بلد، ولا ينبغي أن تكون مصدرا للخلاف أو الإساءة. يجب أن نعترف بالجمال الموجود في الثقافات الأخرى ونحترمها، بدلاً من التن']
1.0,0.9893933534622192,0.9971201292937621,0.763344407081604,0.7552478827690976,0.7611460738848792,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عاود اكتب ""USER الفانز المشترك من جيهتي مسموح لكم تتكلمو باسمي و باسم الجزائر لانو عندي حاطين جنسيتك جزائريه مو كي شي ناس ولاد حركه و يجيو"" باش تكون بلو ابروبري'}]}]",dza,['🟦🟦🟦 USER الفانز المشترك من جهتي مسموح لكم تتكلمو باسمي و باسم الجزائر لانو عندي حاطين جنسيتك جزائريه، مو كيما شي ناس ولاد حركة ويجيوا يقلبوا في الهوية و يكتبوا جنسيات باطل، حبيت نصححلكم 💙🇩🇿 \n\nأنا جزائري و فخور ب']
1.0,0.007214826997369528,0.025920612271875143,0.05221274867653847,0.0003767059487583598,0.0013533864140934156,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER USER هه نعرس بيه بركا ميسالش يجيبو وقتها هه  المهم هو اكهوو"" واش من لديونس يوالمها هاد النوع تاع لي فراز. بروفي لا ريبونس تاعك'}]}]",dza,"['أنا آسف، أنا لست متأكداً مما تقصده بعبارة ""USER USER"". يبدو أن النص الذي قدمته يحتوي على خطأ إملائي أو ترجمة غير صحيحة. هل يمكنك أن توضح ما تريد قوله؟ أو ربما كتابة الجملة مرة أخرى بطريقة مختلفة؟ سأفعل كل ما في وسعي لمساعدتك إذا قمت بتزويدي بمعلومات أكثر وضوحاً.']"
1.0,0.22714050114154816,0.9771161060780287,0.8035086989402771,0.18250936854888788,0.7851212911083466,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'قول ""صباح الخير شكون لي ناض بكري كيفي URL"" بكلمات وحدوخرين، و غاردي نفس المعنى'}]}]",dza,['صباح النور، اللي فاق ومبكر مثلي يقولي صباح الخير']
1.0,0.014913015998899937,0.05626455182209611,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""USER USER USER بصح ما نشوفش عناوين مستفزه كيما لخرين هاد لصحافه الي تعرف تخدم صح الله يبارك"" واش هوما لي امبليكاسيون تاع هادي لوكان قالهالك كاش واحد؟'}]}]",dza,['إذا كان شخص ما يقول لك هذا، فمن المرجح أنهم يشيرون إلى التطبيقات أو الجوانب المزعجة لوسائل الإعلام أو الصحافة. قد يكونوا يناقشون العناوين المستفزة أو المبالغ فيها التي تستخدمها بعض المنافذ الإخبارية لجذب الانتباه أو زيادة الاهتمام. قد يكونون يطلبون وسائل إعلام أو صحافة أكثر مسؤولية ومهنية، تركز']
1.0,0.003324979217723012,0.034027203102596104,0.10603971779346466,0.0003525798579164831,0.003608235014300196,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'قول هاد الفراز بكلمات وحدوخرين، و غاردي نفس المعنى: ""لقد اثبث العلماء مؤخرا ان من بين انواع الكفوف كف تاع المحبه والمعززه والله غير ربي لي يعلم URL URL""'}]}]",dza,['العلم حديثاً كشف لنا ان من بين الايدي، يد المحبة والصداقة، واللي خلقنا سبحانه اعلم واعلم بشؤونها.']
