estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,True,هل توجد مضيفات يتحدثن اليابانية ؟,['هل هناك أي مضيفة تتحدث اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8976ee0>,13.147601201284163,36.77961149156801,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفيه أى مضيفة بتتكلم ياباني؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,قهوة مع القشدة والسكر ، من فضلك .,['قهوة بالكريمة والسكر، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874aeb0>,17.095746935849984,57.14754668991334,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة والسكر، من فضلك.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,هل هناك مضيفات يتحدثن اليابانية ؟,['هل هناك أي مضيفة تتحدث اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874ad60>,16.830386789031852,48.65291270726054,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفيه اى مضيفة بتتكلم ياباني؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,فقدت بطاقة المطالبة .,['أضعت إيصال الاستلام الخاص بي.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874a130>,0.0,10.00077805441935,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nضيعت ورقة الاستلام بتاعتي.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,دعنا نجتمع لنبحث الأمر أكثر .,['دعنا نكون معاً لكي نناقش هذا أكثر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874a610>,4.456882760699063,27.267474054317166,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخلينا نكون سوا عشان نناقش ده اكتر .\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أريد أن أرى الميناء .,['أريد أن أرى الميناء.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874af40>,80.91067115702207,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nعاوز أشوف المينا.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أين أقرب صيدلية ؟,['أين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874adf0>,80.91067115702207,86.21870109546165,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفين أقرب صيدلية؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أظن أنه بديع المنظر .,['أعتقد أن المنظر رائع.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874a6a0>,13.741272855400096,27.202228084523455,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nمتهيألي ان المنظر خلاب .\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,ماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟,['ما الذي سيُعزف في قاعة الحفلات الموسيقية اليوم؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874a940>,54.017258985951415,69.06705494812729,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,خذني إلى المستشفى .,['خذني إلى المستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e874adc0>,75.98356856515926,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخدني للمستشفى.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
