acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations,_3,_4,_5
1.0,0.1399034112691879,0.7588961506262422,0.0061294948682188,0.0008575372414208,0.0046516500607746,Reply in Saudi Arabic. What is a Salesforce digital expierence," platform?

Salesforce digital experience platform هو منصة رقمية متكاملة توفر تجربة متكاملة للعملاء عبر جميع قنوات الاتصال.",Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,What is a Salesforce digital expierence. Write in Saudi Arabic.,,End,write in {language_requested},Stand alone
1.0,0.0067277327179908,0.669393545249477,0.0,0.0,0.0,Write in Saudi Arabic. What is the process of technological exploration in the context of technology roadmapping and implementation,"?

تتضمن عملية الاستكشاف التكنولوجي في إطار خارطة الطريق التكنولوجية وتنفيذها على تحديد احتياجات المستقبل وتوقعاته، وتقييم التكنولوجيات المتاحة، وتصميم حلول مبتكرة، وتطويرها، وتقييمها، وتنفيذها.",Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,What is the process of technological exploration in the context of technology roadmapping and implementation. Write in Saudi Arabic.,,End,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Use Saudi Arabic. Invent a global digital government.,"

The Kingdom of Saudi Arabia is a country in the Middle East. It is the largest country in the Arabian Peninsula and the second-largest country in the Middle East. It is bordered by Jordan, Iraq, Kuwait, Qatar, the United Arab Emirates, Oman, and Yemen. The capital city is Riyadh. The official language is Arabic. The country is home to the holy cities of Mecca and Medina, which are important pilgrimage sites for Muslims around the world. The Kingdom of Saudi Arabia is a monarchy with a king as its head of state. The current king is Salman bin Abdulaziz Al Saud. The country has a rich history and",Start,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Invent a global digital government. Answer in Saudi Arabic.,,End,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Answer in Saudi Arabic. Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature?,,Start,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature? Use Saudi Arabic.,,End,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Write in Saudi Arabic. Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution.""",,Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Write Research Proposal Paper in Saudi Arabic on ""Study the effect of different fertilizer types on Environmental Pollution.""",,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,"Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution."". Reply in Saudi Arabic.",,End,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Write in Saudi Arabic. How will electric cars affect traditional automobile industry,?,Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,How will electric cars affect traditional automobile industry. Reply in Saudi Arabic.,,End,reply in {language_requested},Stand alone
1.0,0.2896187007427215,0.8520456999540329,0.0,0.0,0.0,Reply in Saudi Arabic. How does Medium's recommendation system work?,"

تعتمد منصة Medium على نظام توصيات ذكي يعتمد على سلوك المستخدمين وتفضيلاتهم. حيث يقدم لك المحتوى الذي قد يثير اهتمامك بناءً على ما قرأته من قبل.",Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,How does Medium's recommendation system work? Use Saudi Arabic.,,End,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Use Saudi Arabic. Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students.",,Start,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Draft an in-class activity in Saudi Arabic that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students.",,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,"Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students. Use Saudi Arabic.",,End,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Respond in Saudi Arabic. You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials", and patient engagement.,Start,respond in {language_requested},Stand alone
1.0,0.0214790850877761,0.9479020414873958,0.0,0.0,0.0,"You are a medical communications expert. Please provide a summary in Saudi Arabic on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials"," and patient engagement.

تعد الصحة من أهم حقوق الإنسان، وتعمل الشركات الصيدلانية على توفير الأدوية والخدمات الصحية للجميع، ولكن هناك تحديات تواجهها في تحقيق ذلك. إحدى هذه التحديات هي عدم المساواة في الصحة، والتي تؤثر على الفئات الأكثر ضعفاً. الشركات الصيدلانية تسعى إلى التغلب على هذه التحديات من خلال عدة طرق، منها زيادة التنوع والشمولية في فرقها، وتصميم أدوية جديدة تركز على احتياجات هذه الفئات، وتصميم استراتيجيات تسويق وبيع",Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,"You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials. Reply in Saudi Arabic.",,End,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Use Saudi Arabic. Taking the role of a potential collaborator - tell me about ways I could collaborate with Solugen,.,Start,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Taking the role of a potential collaborator - tell me about ways I could collaborate with Solugen. Answer in Saudi Arabic.,,End,answer in {language_requested},Stand alone
1.0,0.4119735062122345,0.8712106249295175,0.0,0.0,0.0,Respond in Saudi Arabic. What does an annual report contains?,"

تحتوي تقارير السنوية على معلومات عن الأداء المالي للشركة خلال العام المالي.",Start,respond in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,What does an annual report contains? Use Saudi Arabic.,,End,use {language_requested},Stand alone
1.0,0.4451340436935425,0.8094522730098106,0.0,0.0,0.0,"Write in Saudi Arabic. what is the best software for managing employee services/booking services? This could include ordering lunch, booking medical appointments, reserving bike lockers etc",".

أفضل برنامج لإدارة الخدمات الموظفية/الحجز هو...",Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"what is the best software for managing employee services/booking services? This could include ordering lunch, booking medical appointments, reserving bike lockers etc. Reply in Saudi Arabic.",,End,reply in {language_requested},Stand alone
1.0,0.2412669956684112,0.7253970049787313,0.0,0.0,0.0,Reply in Saudi Arabic. What is a times and motion study?,"

تقييم الوقت والمكان في عملية العمل",Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,What is a times and motion study? Respond in Saudi Arabic.,,End,respond in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Respond in Saudi Arabic. i am using a neural network to do object detection in documents. can you think of documents that might be very repititive that a single company would produce? and describe why they are similar and would be easy to fine tune a NN on,.,Start,respond in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,i am using a neural network to do object detection in documents. can you think of documents that might be very repititive that a single company would produce? and describe why they are similar and would be easy to fine tune a NN on. Write in Saudi Arabic.,,End,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Use Saudi Arabic. write a product requirements document for a software that helps entrepreneurs identify a target market and begin building a business,.,Start,use {language_requested},Stand alone
1.0,0.1126711592078208,0.8946543950587511,0.0,0.0,0.0,write a product requirements document in Saudi Arabic for a software that helps entrepreneurs identify a target market and begin building a business," plan.

تعدّ خطة الأعمال من أهم الخطوات التي يجب على أيّ رائد أعمال وضعها قبل البدء في أيّ مشروع، حيث تساعد على تحديد الهدف الرئيسي للعمل، وتحديد العملاء المستهدفين، وتحديد الموارد اللازمة، وتحديد التكاليف، وتحديد الأرباح المتوقعة، وغيرها من الجوانب الهامة.

لذا، تمّ تطوير هذا البرنامج لمساعدة روّاد الأعمال على تحديد سوقهم المستهدف، وبناء خطة عمل قوية، من خلال إرشادهم بخطوات واضحة، وتوفير أدوات ق",Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,write a product requirements document for a software that helps entrepreneurs identify a target market and begin building a business. Answer in Saudi Arabic.,,End,answer in {language_requested},Stand alone
1.0,0.2146495282649994,0.8939921846613288,0.0,0.0,0.0,"Respond in Saudi Arabic. What is a ""interactive engineering model "" related to self-learning"," and self-improvement?

نموذج هندسي تفاعلي هو نموذج يمكنه من خلال التعلم الذاتي من البيانات والبيانات السابقة أن يتحسن ويطور نفسه.",Start,respond in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"What is a ""interactive engineering model "" related to self-learning. Reply in Saudi Arabic.",,End,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Reply in Saudi Arabic. How would you use a discrete event simulation of a city to simulate the consequences of extreme cold situations?,,Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,How would you use a discrete event simulation of a city to simulate the consequences of extreme cold situations? Reply in Saudi Arabic.,,End,reply in {language_requested},Stand alone
