estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,raw_prompt,_raw_turns,from_cache,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r,"When you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.","['When I first traveled abroad, people were patient and understanding, knowing that travelers in a new country need to adjust.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecca4130>,47.01530436648399,70.64929037801897,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
عندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.","[""Given this new environment's different resources and competitors, the new group will require different attributes or modes of adaptation to become a stronger contender than previously required.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecca4b80>,12.162779391619736,46.27166658803793,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
نظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة الجديدة إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nنظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة الجديدة إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"For news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.",['Check the Argentine Polo Association for news on tournaments and where to buy polo match tickets.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ed14d670>,35.486600004412004,62.1127102412114,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nللحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"After all, the leader is ultimately responsible for the success and failure of the team.","[""Ultimately, the leader is the one primarily responsible for the team's success or failure.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9ce80>,21.180085482357107,60.61901386980008,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
ففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.","['Women: Regardless of their actual marital status, travelling women should declare that they are married.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9cd90>,24.82192663584399,55.53928740450008,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
النساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلن إنهن متزوجات.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nالنساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلن إنهن متزوجات.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,Many observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.,"['Many of the rhythms observed in physiology and behaviour depend critically on the existence of, and are generated by, endogenous circadian cycles.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9cca0>,19.224934775549908,46.5261591851922,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
يعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nيعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"Most of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.","['Most Baltic cruises feature an extended stay in Saint Petersburg, Russia.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9cbb0>,42.605206632828725,68.02985431939659,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
تتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nتتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,"When completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.","['When reared by nonhuman animals, the feral child exhibits behaviors (within the limits of his physical capabilities) that closely resemble those of his foster species, such as fear of or indifference to humans.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9cac0>,50.686932554849676,60.87039358733808,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
عندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,Two popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.,"[""Two popular theories of content are Maslow's hierarchy of needs and Herzberg's two-factor theory.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9c9d0>,23.190567004465,53.21461033608495,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
نظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nنظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
Blobheart:command-r,She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.,['She arrived at this conclusion because of the plethora of positive comments and encouragements sent to her by both males and females supporting the consideration of birth control pills as a medical necessity.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc9c8e0>,28.52158256303107,55.74287075978881,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
لقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nلقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.\nTranslation:'}]}]",False,,0,0,0,0,0,en,False,None,None,None
