prompt,location,phrasing,language,source
"Reply in Sudanese Arabic. Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities",Start,reply in {language_requested},ar,okapi
"Explain a common misconception about your topic in Sudanese Arabic.
Topic: Using AI to Augment Human Capabilities",Middle,in {language_requested},ar,okapi
"Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities. Write in Sudanese Arabic.",End,write in {language_requested},ar,okapi
Write in Sudanese Arabic. Explain how the Gini index is calculated.,Start,write in {language_requested},ar,okapi
Explain in Sudanese Arabic how the Gini index is calculated.,Middle,in {language_requested},ar,okapi
Explain how the Gini index is calculated. Respond in Sudanese Arabic.,End,respond in {language_requested},ar,okapi
Answer in Sudanese Arabic. Write four articles on the topic of cryptocurrency with a minimum of 300 words each.,Start,answer in {language_requested},ar,okapi
Write four articles in Sudanese Arabic on the topic of cryptocurrency with a minimum of 300 words each.,Middle,in {language_requested},ar,okapi
Write four articles on the topic of cryptocurrency with a minimum of 300 words each. Answer in Sudanese Arabic.,End,answer in {language_requested},ar,okapi
Answer in Sudanese Arabic. Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence.,Start,answer in {language_requested},ar,okapi
Generate an essay in Sudanese Arabic of at least 500 words that argues in favor of regulating artificial intelligence.,Middle,in {language_requested},ar,okapi
Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence. Reply in Sudanese Arabic.,End,reply in {language_requested},ar,okapi
Reply in Sudanese Arabic. Write an 1850-word horror story.,Start,reply in {language_requested},ar,okapi
Write an 1850-word horror story in Sudanese Arabic.,Middle,in {language_requested},ar,okapi
Write an 1850-word horror story. Write in Sudanese Arabic.,End,write in {language_requested},ar,okapi
"Respond in Sudanese Arabic. Write a 500 word report summarizing the article: ""The Impact of Brexit on the United Kingdom"".",Start,respond in {language_requested},ar,okapi
"Write a 500 word report summarizing the article in Sudanese Arabic: ""The Impact of Brexit on the United Kingdom"".",Middle,in {language_requested},ar,okapi
"Write a 500 word report summarizing the article: ""The Impact of Brexit on the United Kingdom"". Respond in Sudanese Arabic.",End,respond in {language_requested},ar,okapi
Answer in Sudanese Arabic. Write a 500 word article about the benefits of organic food.,Start,answer in {language_requested},ar,okapi
Write a 500 word article in Sudanese Arabic about the benefits of organic food.,Middle,in {language_requested},ar,okapi
Write a 500 word article about the benefits of organic food. Write in Sudanese Arabic.,End,write in {language_requested},ar,okapi
Respond in Sudanese Arabic. Write a persuasive essay about why the redistribution of wealth is necessary.,Start,respond in {language_requested},ar,okapi
Write a persuasive essay in Sudanese Arabic about why the redistribution of wealth is necessary.,Middle,in {language_requested},ar,okapi
Write a persuasive essay about why the redistribution of wealth is necessary. Answer in Sudanese Arabic.,End,answer in {language_requested},ar,okapi
Respond in Sudanese Arabic. Generate an argumentative essay about the importance of healthy eating.,Start,respond in {language_requested},ar,okapi
Generate an argumentative essay in Sudanese Arabic about the importance of healthy eating.,Middle,in {language_requested},ar,okapi
Generate an argumentative essay about the importance of healthy eating. Write in Sudanese Arabic.,End,write in {language_requested},ar,okapi
Answer in Sudanese Arabic. Write an opinion article on artificial intelligence in 500-700 words.,Start,answer in {language_requested},ar,okapi
Write an opinion article in Sudanese Arabic on artificial intelligence in 500-700 words.,Middle,in {language_requested},ar,okapi
Write an opinion article on artificial intelligence in 500-700 words. Use Sudanese Arabic.,End,use {language_requested},ar,okapi
Use Sudanese Arabic. Generate a creative story which is at least 500 words long.,Start,use {language_requested},ar,okapi
Generate a creative story in Sudanese Arabic which is at least 500 words long.,Middle,in {language_requested},ar,okapi
Generate a creative story which is at least 500 words long. Write in Sudanese Arabic.,End,write in {language_requested},ar,okapi
