estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,لما تسافر أول مرة، الناس بتكون صبورة وبتتفهم إنه الأشخاص اللي بيجوا على بلد جديد يبحتاجوا وقت ليتأقلموا.,['لما سافرت لبرا بالأول، يمكن الناس كانوا صبورين ومتفهمين، عارفين إنو المسافرين ببلد جديد بحاجة يتأقلموا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0469100>,11.8652796319882,26.83144298622111,0.63323335308651,0.8210586309432983,0.7712401151657104,0.9944271347485483,0.7669420979273778,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بتحتوي البيئة الجديدة على موارد مختلفة ومنافسين مختلفين، لهالسبب رح يحتاج السكان الجدد لميزات أو تعديلات مختلفة ليكونوا منافسين أقويا بعكس اللي كانوا عليه من قبل.,['بما إنه هالبيئة الجديدة فيها موارد ومنافسين مختلفين، رح تحتاج المجموعة الجديدة لخصائص مختلفة أو طرق تكيّف لحتى تصير منافس أقوى مقارنة بالقوة اللي كانت تحتاجها من قبل.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d9188460>,16.240436335264977,37.47447537441912,0.23075515605000874,0.6869125366210938,0.3359309136867523,0.9857071433216333,0.3311295012835948,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة حديثة العهد إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، شوف Asociacion Argentina de Polo.,['لتحصل على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، شوف رابطة البولو الأرجنتينية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d9188c10>,63.983008738880855,63.74595276045502,0.004873649222900178,0.01957906223833561,0.2489214837551117,0.04807905899360776,0.01196791070223839,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nللحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بعد كل شي، القائد هو المسؤول بالنهاية عن نجاح وفشل الفريق.,['بالآخر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d9188ca0>,59.509221134368715,64.53559578625541,0.0,0.6226013898849487,0.0,0.9118426032364368,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,السيدات: من الأفضل تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الفعلية.,['النسوان: بغض النظر عن الحالة الاجتماعية الفعلية، لازم النسوان المسافرات يقولوا إنهن متزوجات.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d9188be0>,25.15565919019027,41.56992789185311,0.430907396971719,0.7505892515182495,0.5740921497344971,0.9812761731445789,0.5633429477238119,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nالنساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلنن إنهن متزوجات.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بتعتمد العديد من الإيقاعات المرصودة بعلم وظايف الأعضاء والسلوك كتير على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.,['بيعتمد كتير من الإيقاعات المرصودة بعلم وظائف الأعضاء والسلوك بشكل حاسم كتير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d9188880>,57.11769609665776,73.12449922949504,0.09985863161589936,0.6415755152702332,0.155645951628685,0.965605940669775,0.15029265553385868,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nيعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بتضم معظم رحلات البلطيق المتميزة بإقامة طويلة بسانت بطرسبرغ بروسيا.,['معظم رحلات البلطيق المميزة بتتميز بإقامة طويلة بسانت بطرسبرغ، روسيا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d91889d0>,64.30990508114236,72.37537544490557,0.011375537170329242,0.16910310089588165,0.06726983189582825,0.7769992314279079,0.052268607681343116,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nتتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,لما يتربى الولد مع حيوانات غير بشرية ببلش يعمل حركات (ضمن الحدود الجسدية) بتشبه تمامًا حركات الحيوانات متل خوفه من البشر أو لا مبالاته تجاههم.,['لما بينربى من قبل حيوانات مو بشرية، بيظهر الطفل الوحشي تصرفات (ضمن الحدود المادية) بتشبه تماماً تصرفات الحيوان اللي بيرعاه، مثل الخوف من البشر أو عدم الاكتراث فيهم.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d91888b0>,20.02089823885266,42.89285919834706,0.6018730757939323,0.9557564854621887,0.6297347545623779,0.9910513735376298,0.6240994934734269,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,نظريتين منتشرين للمحتوى هن التسلسل الهرمي لنظرية الاحتياجات لماسلو ونظرية العامل التاني لهيرتسبرج.,['في نظريتين معروفين للمحتوى، وحدة ماسلو الهرمية للاحتياجات ونظرية العامل الثاني لهيرزبرج.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d91888e0>,28.427903339173913,43.81274339988095,0.004348569003300717,0.20711243152618408,0.020996175706386566,0.8383214399218559,0.017601544251030277,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.\nTranslation:'}]}]",False,,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,توصلت لهيدا الاستنتاج بسبب التعليقات الإيجابية والتشجيعات الكتيرة اللي بعتلها ياها رجال ونسوان شجعوها على اعتبار أدوية منع الحمل ضرورة طبية.,['توصلت لهالاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات اللي أرسلوها لها إناث وذكور بيشجعوا اعتبار أدوية منع الحمل ضرورة طبية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d9188160>,47.250034171111665,62.589283824342225,0.013144084005701773,0.032392434775829315,0.40577635169029236,0.2109741682652384,0.0856083282995623,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nلقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.\nTranslation:'}]}]",False,,syr,False,None,None,None
