acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations,_3,_4,_5
0.0,0.0,0.0,0.0,0.0,0.0,"Reply in Algerian Arabic. Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities",,Start,reply in {language_requested},Stand alone
1.0,0.0799923092126846,0.7639376558363438,0.020481813699007,0.0016383875746475,0.0156468287444961,"Explain a common misconception about your topic in Algerian Arabic.
Topic: Using AI to Augment Human Capabilities","

AI ما هي حاجة خارقة، هي مجرد أداة لمساعدتنا.",Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,"Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities. Write in Algerian Arabic.",,End,write in {language_requested},Stand alone
1.0,0.0388054698705673,0.2414964213967323,0.0,0.0,0.0,Write in Algerian Arabic. Explain how the Gini index is calculated.,"

الـجينيّ هو مؤشر يستخدم لقياس التفاوت في توزيع الدخل أو الثروة في مجتمع ما. يتم إيجاده من خلال حساب الفرق بين مجموع الدخل أو الثروة لكل فرد في المجتمع مقسومًا على مجموع الدخل أو الثروة الكلي. يمكن أن يتراوح بين 0 و1، حيث 0 يشير إلى توزيع متساوي تمامًا للدخل أو الثروة، و1 يشير إلى توزيع غير متساوٍ تمامًا.

لذا، فإن الإجابة الصحيحة هي 0.5.",Start,write in {language_requested},Stand alone
1.0,0.0023992133792489,0.0149191177915781,0.0,0.0,0.0,Explain in Algerian Arabic how the Gini index is calculated.,"

الـجينيّ إكسْدِكسْ هو مقياس يحدد التوزيع غير المتساوي للثروة أو الدخل في مجتمع ما. يُحسب عن طريق جمع كل فرد في المجتمع واختيار فرد عشوائي آخر. إذا كان الفرد الأول غنيًا، فمن المحتمل أن يكون الفرد الثاني غنيًا أيضًا. هذا يُحسب على كل فرد في المجتمع، ثم يُقسم الناتج على عدد الأفراد في المجتمع. الناتج النهائي هو مؤشر الجينيّ.",Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,Explain how the Gini index is calculated. Respond in Algerian Arabic.,,End,respond in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Answer in Algerian Arabic. Write four articles on the topic of cryptocurrency with a minimum of 300 words each.,"

## Cryptocurrency: A New Financial Frontier

Cryptocurrency is a digital or virtual currency that uses cryptography for security. It is decentralized, meaning it is not controlled by any government or financial institution. Bitcoin, the first and most well-known cryptocurrency, was created in 2009 by an anonymous person or group known as Satoshi Nakamoto.

Cryptocurrencies are created and managed through a process called mining, which involves solving complex mathematical problems using powerful computers. This process ensures the security and integrity of the network. Cryptocurrencies are stored in digital wallets, which are software programs that allow users to send, receive, and store their digital",Start,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Write four articles in Algerian Arabic on the topic of cryptocurrency with a minimum of 300 words each.,,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,Write four articles on the topic of cryptocurrency with a minimum of 300 words each. Answer in Algerian Arabic.,,End,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Answer in Algerian Arabic. Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence.,,Start,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Generate an essay in Algerian Arabic of at least 500 words that argues in favor of regulating artificial intelligence.,,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence. Reply in Algerian Arabic.,,End,reply in {language_requested},Stand alone
1.0,0.1409419476985931,0.3322300370782614,0.008481903001666,0.0011954559292453,0.0028179429487377,Reply in Algerian Arabic. Write an 1850-word horror story.,"

يا الله، قصة مرعبة، سمعت عنها من جدتي، كانت ترويها لي كل ليلة، كانت تروي لي قصة عن شيخ مسكين، كان يعيش في قرية صغيرة، كان معروف عنه أنه كان يقرأ القرآن الكريم، وكان له سمعة طيبة، لكن كان يعاني من مرض مزمن، كان يمرض كل شهر، كان يمرض بشدة، حتى أنه كان يموت كل شهر، لكن كان يعود للحياة بعد أيام قليلة، كان يعود للحياة لكنه كان يمرض بشدة، كان يعاني من آلام شديدة، كان",Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Write an 1850-word horror story in Algerian Arabic.,,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,Write an 1850-word horror story. Write in Algerian Arabic.,,End,write in {language_requested},Stand alone
