acc,prob,macro_prob,dialectness,score,macro_score,_raw_turns,desired_output_dialect,generations
1.0,0.009529243223369122,0.10638431739062071,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'ما هو الجمهور المناسب للجملة من النوع دا؟ ""هل هناك اي مضيفه بتتكلم ياباني؟"" برر اجابتك'}]}]",sdn,[' -\nتم النشر بواسطة Mr.Mido.\nالجمهور المناسب هو الجمهور الذي يتقن اللغة اليابانية\nتم النشر بواسطة محمد ابو زيد.\nالجمهور المناسب هو الجمهور الذي يتقن اللغة اليابانية وايضاً الجمهور الذي يتقن اللغة الانجليزية\nالجمهور المناسب هو الجمهور الذي يتقن اللغة اليابانية وايضاً الجمهMultiplierالذي يتقن اللغة الانجليزية\nال']
1.0,0.0020569765474647284,0.0478256621863693,0.03159189224243164,6.498378143271477e-05,0.0015109031662147165,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رد على موضوع ببدأ بـ""قهوة بكريم و سكر، من فضلك.""'}]}]",sdn,"[' - حسوب I/O\n2019-07-11T16:12:21+00:00\nرد على موضوع ببدأ بـ""قهوة بكريم و سكر، من فضلك.""\nأولاً: أعتذر عن الرد على موضوعك هنا، لكنني لم أجد طريقة للرد عليه هناك.\nثانياً: أعتذر عن عدم قراءة الموضوع كاملاً ل']"
1.0,0.0017603922169655561,0.9874816227238625,0.7724191546440125,0.0013597606680704338,0.7627497202508635,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة ""هل هناك أي مضيفه بتتكلم ياباني؟"" عشان تكون مناسبة اكتر للناس'}]}]",sdn,"[' اللي بتتكلم ياباني، انا كتبت النسخة دي من ""هل هناك أي مضيفه بتتكلم ياباني؟"" عشان تكون مناسبة اكتر للناس اللي بتتكلم ياباني.\nالنسخة دي من ""هل هناك أي مضيفه بتتكلم ياباني؟"" عشان تكون مناسبة اكتر للناس اللي بتتكلم ياباني، انا كتبت النسخة دي من ""هل هناك أي مضيفه بتتكلم ياب']"
1.0,0.0005233732517808676,0.9858803597744554,0.9001624584197998,0.0004711209529942306,0.8874524883623705,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'ما هو الجمهور المناسب للجملة من النوع دا؟ ""ضيعت ورقة الاستلام بتاعتي."" برر اجابتك'}]}]",sdn,"['.\nالجمهور المناسب للجملة دي هو جمهور من المتعلمين، لأنهم هيفهموا معنى الجملة دي، وهيعرفوا يفرقوا بينها وبين جملة زي ""ضيعت ورقة الاستلام بتاعتي اللي كانت معايا.""\nالجمهور المناسب للجملة دي هو جمهور من المتعلمين، لأنهم هيفهموا معنى الجملة دي، وهيعرفوا يفرقوا بينها وبين جملة زي ""']"
1.0,0.9779579043388367,0.9804844937752932,0.7981126308441162,0.7805205558866675,0.7825370588288607,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""ورحكم سوا عشان نناقش دا اكتر."" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي'}]}]",sdn,"[' فيها.\n""ورحكم سوا عشان نناقش دا اكتر."" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي فيها.\n""ورحكم سوا عشان نناقش دا اكتر."" صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي فيها.\n""ورحكم سوا عشان نناقش دا اكتر."" صيغ']"
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""داير اشوف الميناء.""'}]}]",sdn,"['\nعيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""داير اشوف الميناء.""\nعيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""داير اشوف الميناء.""\nعيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""داير اشوف الميناء.""\nعيد كتابة الجملة عشان تكون مناسبة اكتر للناس: ""داير اشوف الميناء.""']"
1.0,0.0005824316176585853,0.9660062540206127,0.7087481617927551,0.0004127973383855031,0.6846551568174145,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""وين أقرب صيدلية؟""'}]}]",sdn,"['\nالموضوع: صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""وين أقرب صيدلية؟""\n12-09-2010, 05:25 AM #1\nالسلام عليكم يا شباب ويا صبايا\nانا عندي سؤال ليكم\nلو حد سألكم عن اقرب صيدلية\nهتجاوب']"
1.0,0.0009073331020772457,0.9877915694378316,0.4063614308834076,0.0003687051776479905,0.4014003955713241,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""أعتقد أنه جميل.""'}]}]",sdn,"['\nالموضوع: صيغ اجابة بطريقة مبدعة تتضمن الجملة دي كعنصر اساسي: ""أعتقد أنه جميل.""\n06-07-2010, 03:37 AM #1\nأنا عايز أستفيد من خبراتكم في صياغة اجابات مبدعة تتضمن الجملة دي كعنصر اساسي: ""أعتقد أنه جميل.""']"
1.0,0.8055116534233093,0.8543572798371315,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'الدلالات  الحاجة دي شنو لو في زول قالها لك؟: ""المشغل شنو في قاعة الموسيقى اليوم؟""'}]}]",sdn,['\n\nاللغة العربية السودانية أو اللهجة السودانية هي لهجة عربية محلية يتحدث بها في السودان. وهي لهجة عربية متأثرة باللغات النوبية والكردفانية والنيلية.\n\nتتكون اللهجة السودانية من عدة لهجات محلية تختلف من منطقة لأخرى، ولكنها تشترك في الكثير من الخصائص.\n\nتتميز اللهجة السودانية ببساطتها وسهولة تعلمها، وهي تستخدم على']
1.0,0.0022328246850520372,0.9856394280213863,0.8464992046356201,0.0018900843199873285,0.8343429918776111,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""وديني للمستشفى."" عيد كتابة الجملة عشان تكون مناسبة اكتر للناس'}]}]",sdn,[' اللي بتموت في الشارع. | The Glocal\nفيه ناس كتير بتموت في الشارع، في الحوادث، في المظاهرات، في أي مكان، في أي وقت، في أي ظرف، في أي حال، في أي وضع، في أي موقف، في أي حاجة، في أي مكان، في أي وقت، في أي ظرف، في أي حال، في أي وضع، في أي موقف، في أي حاجة، في']
