acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations,_3,_4,_5
1.0,0.002390717389062,0.0059811295941472,0.0111517319455742,2.6660639480443173e-05,6.669995396567114e-05,Reply in Sudanese Arabic. What is a Salesforce digital expierence," platform?

Salesforce digital expierence platform هي منصة رقمية متكاملة بتكنولوجيا Salesforce، بتوفر لك تجربة رقمية متكاملة وموحدة للعملاء.",Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,What is a Salesforce digital expierence. Write in Sudanese Arabic.,,End,write in {language_requested},Stand alone
1.0,0.0036979357246309,0.0264651721809059,0.0,0.0,0.0,Write in Sudanese Arabic. What is the process of technological exploration in the context of technology roadmapping and implementation,"?

التكنولوجيا تتطور باستمرار، وتتطلب منا أن نكون على اطلاع دائم بالتقنيات الجديدة. التخطيط التكنولوجي هو عملية مهمة تساعدنا على فهم التطورات التكنولوجية وتطبيقها. التخطيط التكنولوجي يبدأ بتحديد الأهداف التكنولوجية، ثم يحدد التكنولوجيا التي نحتاجها لتحقيقها. بعد ذلك، نبدأ في تطوير التكنولوجيا، ثم نطبقها في حياتنا اليومية. التكنولوجيا تتطور باستمرار، لذا يجب أن نكون مستعدين دائماً لتغيير",Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,What is the process of technological exploration in the context of technology roadmapping and implementation. Write in Sudanese Arabic.,,End,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Use Sudanese Arabic. Invent a global digital government.,"

The Sudanese government is working on a new digital platform that will provide a range of services to citizens. The platform will be a one-stop shop for all government services, and will be available 24/7. It will also be a platform for citizens to connect with each other and with government officials. The platform will be launched in the coming months.",Start,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Invent a global digital government. Answer in Sudanese Arabic.,,End,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Answer in Sudanese Arabic. Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature?,,Start,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature? Use Sudanese Arabic.,,End,use {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Write in Sudanese Arabic. Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution.""",,Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Write Research Proposal Paper in Sudanese Arabic on ""Study the effect of different fertilizer types on Environmental Pollution.""",,Middle,in {language_requested},Integrated
