estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r-plus,هل توجد مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفات يتحدثن اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ed2a55b0>,67.09489882833027,67.74581945310446,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفي شي مضيفات بيحكوا ياباني؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,قهوة مع القشدة والسكر ، من فضلك .,['قهوة مع كريمة وسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e5761940>,15.307938151800226,53.704616521871465,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nقهوة مع كريما وسكر، لو سمحت.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,هل هناك مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفة تتحدث اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e57618b0>,21.386638885976566,56.41649640864597,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفي شي مضيفة بتحكي ياباني؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,فقدت بطاقة المطالبة .,['لقد فقدتُ بطاقة الاستلام الخاصة بي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e5761340>,10.600313379512592,34.56308776770772,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nضيعت بطاقة الاستلام تبعي.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,دعنا نجتمع لنبحث الأمر أكثر .,['دعنا نلتقي لمناقشة هذا الموضوع بشكل أوسع.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e57610d0>,2.627961710408444,18.19027347513841,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخلينا نلتقي لناقش هالموضوع بشكل أوسع.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,أريد أن أرى الميناء .,['أريد أن أرى الميناء.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e5761040>,80.91067115702207,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nبدي شوف الميناء.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,أين أقرب صيدلية ؟,['أين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e5761550>,80.91067115702207,86.21870109546165,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nوين أقرب صيدلي؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,أظن أنه بديع المنظر .,['أراه جميلًا جدًا.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e57615e0>,0.0,9.383903133903136,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nشايفه كتير حلو.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,ماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟,['ما الذي سيُعزف في قاعة الحفلات الموسيقية اليوم؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e57614c0>,54.017258985951415,69.06705494812729,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nشو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
Blobheart:command-r-plus,خذني إلى المستشفى .,['خذني إلى المستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e5761d00>,75.98356856515926,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخدني عالمستشفى.\nTranslation:'}]}]",True,,0,0,0,0,0,ar,False,None,None,None
