prompt,location,phrasing,language,source
Reply in Moroccan Arabic. What is a Salesforce digital expierence,Start,reply in {language_requested},ar,sharegpt
What is a Salesforce digital expierence. Write in Moroccan Arabic.,End,write in {language_requested},ar,sharegpt
Write in Moroccan Arabic. What is the process of technological exploration in the context of technology roadmapping and implementation,Start,write in {language_requested},ar,sharegpt
What is the process of technological exploration in the context of technology roadmapping and implementation. Write in Moroccan Arabic.,End,write in {language_requested},ar,sharegpt
Use Moroccan Arabic. Invent a global digital government.,Start,use {language_requested},ar,sharegpt
Invent a global digital government. Answer in Moroccan Arabic.,End,answer in {language_requested},ar,sharegpt
Answer in Moroccan Arabic. Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature?,Start,answer in {language_requested},ar,sharegpt
Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature? Use Moroccan Arabic.,End,use {language_requested},ar,sharegpt
"Write in Moroccan Arabic. Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution.""",Start,write in {language_requested},ar,sharegpt
"Write Research Proposal Paper in Moroccan Arabic on ""Study the effect of different fertilizer types on Environmental Pollution.""",Middle,in {language_requested},ar,sharegpt
"Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution."". Reply in Moroccan Arabic.",End,reply in {language_requested},ar,sharegpt
Write in Moroccan Arabic. How will electric cars affect traditional automobile industry,Start,write in {language_requested},ar,sharegpt
How will electric cars affect traditional automobile industry. Reply in Moroccan Arabic.,End,reply in {language_requested},ar,sharegpt
Reply in Moroccan Arabic. How does Medium's recommendation system work?,Start,reply in {language_requested},ar,sharegpt
How does Medium's recommendation system work? Use Moroccan Arabic.,End,use {language_requested},ar,sharegpt
"Use Moroccan Arabic. Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students.",Start,use {language_requested},ar,sharegpt
"Draft an in-class activity in Moroccan Arabic that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students.",Middle,in {language_requested},ar,sharegpt
"Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students. Use Moroccan Arabic.",End,use {language_requested},ar,sharegpt
"Respond in Moroccan Arabic. You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials",Start,respond in {language_requested},ar,sharegpt
"You are a medical communications expert. Please provide a summary in Moroccan Arabic on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials",Middle,in {language_requested},ar,sharegpt
"You are a medical communications expert. Please provide a summary on how pharma companies are approaching diversity and inclusion, and health inequalities globally.  Focus on the general approach and include information on clinical trials. Reply in Moroccan Arabic.",End,reply in {language_requested},ar,sharegpt
Use Moroccan Arabic. Taking the role of a potential collaborator - tell me about ways I could collaborate with Solugen,Start,use {language_requested},ar,sharegpt
Taking the role of a potential collaborator - tell me about ways I could collaborate with Solugen. Answer in Moroccan Arabic.,End,answer in {language_requested},ar,sharegpt
Respond in Moroccan Arabic. What does an annual report contains?,Start,respond in {language_requested},ar,sharegpt
What does an annual report contains? Use Moroccan Arabic.,End,use {language_requested},ar,sharegpt
"Write in Moroccan Arabic. what is the best software for managing employee services/booking services? This could include ordering lunch, booking medical appointments, reserving bike lockers etc",Start,write in {language_requested},ar,sharegpt
"what is the best software for managing employee services/booking services? This could include ordering lunch, booking medical appointments, reserving bike lockers etc. Reply in Moroccan Arabic.",End,reply in {language_requested},ar,sharegpt
Reply in Moroccan Arabic. What is a times and motion study?,Start,reply in {language_requested},ar,sharegpt
What is a times and motion study? Respond in Moroccan Arabic.,End,respond in {language_requested},ar,sharegpt
Respond in Moroccan Arabic. i am using a neural network to do object detection in documents. can you think of documents that might be very repititive that a single company would produce? and describe why they are similar and would be easy to fine tune a NN on,Start,respond in {language_requested},ar,sharegpt
i am using a neural network to do object detection in documents. can you think of documents that might be very repititive that a single company would produce? and describe why they are similar and would be easy to fine tune a NN on. Write in Moroccan Arabic.,End,write in {language_requested},ar,sharegpt
Use Moroccan Arabic. write a product requirements document for a software that helps entrepreneurs identify a target market and begin building a business,Start,use {language_requested},ar,sharegpt
write a product requirements document in Moroccan Arabic for a software that helps entrepreneurs identify a target market and begin building a business,Middle,in {language_requested},ar,sharegpt
write a product requirements document for a software that helps entrepreneurs identify a target market and begin building a business. Answer in Moroccan Arabic.,End,answer in {language_requested},ar,sharegpt
"Respond in Moroccan Arabic. What is a ""interactive engineering model "" related to self-learning",Start,respond in {language_requested},ar,sharegpt
"What is a ""interactive engineering model "" related to self-learning. Reply in Moroccan Arabic.",End,reply in {language_requested},ar,sharegpt
Reply in Moroccan Arabic. How would you use a discrete event simulation of a city to simulate the consequences of extreme cold situations?,Start,reply in {language_requested},ar,sharegpt
How would you use a discrete event simulation of a city to simulate the consequences of extreme cold situations? Reply in Moroccan Arabic.,End,reply in {language_requested},ar,sharegpt
Write in Moroccan Arabic. What can you say about the security policy  of Cisco or any network edge device that must be implemented in order to secure the organization's data and resources?,Start,write in {language_requested},ar,sharegpt
What can you say about the security policy  of Cisco or any network edge device that must be implemented in order to secure the organization's data and resources? Write in Moroccan Arabic.,End,write in {language_requested},ar,sharegpt
Reply in Moroccan Arabic. explain me key concepts of the economic dimension of globalization,Start,reply in {language_requested},ar,sharegpt
explain me key concepts of the economic dimension of globalization. Write in Moroccan Arabic.,End,write in {language_requested},ar,sharegpt
"Use Moroccan Arabic. What is the difference between deep learning, machine learning, and artificial intelligence?",Start,use {language_requested},ar,sharegpt
"What is the difference between deep learning, machine learning, and artificial intelligence? Answer in Moroccan Arabic.",End,answer in {language_requested},ar,sharegpt
Respond in Moroccan Arabic. Explain in simple terms how clustering techniques can identify disease relevant biomarkers from transcriptomic and proteomic data,Start,respond in {language_requested},ar,sharegpt
Explain in simple terms in Moroccan Arabic how clustering techniques can identify disease relevant biomarkers from transcriptomic and proteomic data,Middle,in {language_requested},ar,sharegpt
Explain in simple terms how clustering techniques can identify disease relevant biomarkers from transcriptomic and proteomic data. Answer in Moroccan Arabic.,End,answer in {language_requested},ar,sharegpt
Use Moroccan Arabic. Provide a sample CRM requirements document for a company that sells scientific instrumenation,Start,use {language_requested},ar,sharegpt
Provide a sample CRM requirements document for a company that sells scientific instrumenation. Respond in Moroccan Arabic.,End,respond in {language_requested},ar,sharegpt
Reply in Moroccan Arabic. What will your eating habits look like in the future?,Start,reply in {language_requested},ar,sharegpt
What will your eating habits look like in the future? Answer in Moroccan Arabic.,End,answer in {language_requested},ar,sharegpt
Write in Moroccan Arabic. Define Forensic Science,Start,write in {language_requested},ar,sharegpt
Define Forensic Science. Answer in Moroccan Arabic.,End,answer in {language_requested},ar,sharegpt
"Write in Moroccan Arabic. what can be some ways AI can help address issues like pollution, climate change and destruction of ecosystems?",Start,write in {language_requested},ar,sharegpt
