estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,عندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.,['لما سافرت برا في البداية، يمكن الناس كانوا صبورين ومتفهمين، عارفين إن المسافرين في بلد جديد يحتاجون يتأقلمون.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0f9fc40>,42.16050739426583,48.79211599158727,0.1757443857044798,0.25779667496681213,0.681717038154602,0.9800010663457215,0.6680834243375569,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,نظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة الجديدة إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.,['بما إن هذي البيئة الجديدة فيها موارد ومنافسين مختلفين، المجموعة الجديدة بتحتاج خواص مختلفة أو طرق تكيف عشان تصير منافس أقوى مقارنة بالقوة اللي كانت تحتاجها قبل.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899fe80>,31.785551738330234,50.612333547073774,0.24159266992210604,0.7973229885101318,0.30300477147102356,0.9524720294866711,0.2886035696271508,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة حديثة العهد إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.,['للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899f760>,100.00000000000004,100.0,0.0007137002437866587,0.11806318908929825,0.006045070011168718,0.5589357421267778,0.0033788056929009162,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nللحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,ففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.,['ففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899f8b0>,100.00000000000004,100.0,0.0,0.026029162108898163,0.0,0.5156844418961555,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,النساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلن إنهن متزوجات.,['النسوان: بغض النظر عن الحالة الاجتماعية الفعلية، لازم النسوان المسافرات يقولن إنهن متزوجات.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899f790>,59.67960856898821,66.66002986772864,0.12344713326107026,0.20621603727340698,0.5986301302909851,0.36469022592063993,0.21831455745872147,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nالنساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلنن إنهن متزوجات.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,يعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.,['يعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل كبير في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899f7c0>,92.41860724391522,94.49126880265608,0.0,0.06506596505641937,0.0,0.8304209322668612,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nيعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,تتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.,['تتميز أغلب رحلات البلطيق المميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899fca0>,77.28082326259643,80.39981178920677,0.0,0.2903830111026764,0.0,0.39026945520890877,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nتتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,عندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.,['لما يتربى من قبل حيوانات غير بشرية، يطلع الطفل الوحشي بسلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899fd30>,81.7751342674825,85.0990985412187,0.02258495927789994,0.08451235294342041,0.2672385573387146,0.7251576279522851,0.19379007833713302,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,نظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.,['فيه نظريتين مشهورتين للمحتوى، اللي هي تسلسل ماسلو الهرمي للاحتياجات ونظرية العامل الثاني لهيرزبرج.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899fc70>,58.33615332902571,71.25003458969125,0.015372048318791354,0.07500939071178436,0.2049349844455719,0.09022610285319388,0.018490484984803858,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.\nTranslation:'}]}]",False,,sau,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,لقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.,['توصلت لهالاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات اللي أرسلوها لها بنات وشباب يشجعون اعتبار أدوية منع الحمل ضرورة طبية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3d899f1c0>,61.78004452823844,71.13651047539817,0.13429072604618852,0.260079562664032,0.5163447856903076,0.9459754745475948,0.4884495036735649,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nلقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.\nTranslation:'}]}]",False,,sau,False,None,None,None
