estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,documents,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,Are there any stewardesses who speak Japanese?,['Is there any flight attendant who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e0894f0>,11.208466750961147,47.64067976121332,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه أى مضيفة بتتكلم ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"Coffee with cream and sugar, please.","['A coffee with cream and sugar, please.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a9d0>,72.59795291154772,92.96290667219833,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة والسكر، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Is there any stewardess who speaks Japanese?,['Is there any flight attendant who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a6d0>,46.92470064105599,67.99737517292182,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه اى مضيفة بتتكلم ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I lost my claim tag.,['I lost my receipt.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a940>,32.46679154750991,41.54928171114026,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nضيعت ورقة الاستلام بتاعتي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Let's get together to discuss this further.,"[""Let's be together to discuss this further.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10ad60>,65.80370064762461,83.75248060146265,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخلينا نكون سوا عشان نناقش ده اكتر .\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I want to see the harbor.,['I want to see the port.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a910>,55.780028607687655,67.42333511310899,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعاوز أشوف المينا.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Where's the nearest chemist?,['Where is the nearest pharmacy?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a100>,20.612390921238426,49.448850581948726,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفين أقرب صيدلية؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I think it's scenic.,['I think the view is breathtaking.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a400>,9.287528999566801,30.170193492639815,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمتهيألي ان المنظر خلاب .\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,What is playing at the concert hall today?,"[""What's going to be performed in the concert hall today?""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10a670>,30.26643726685862,57.20164294507525,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Take me to the hospital.,['Take me to the hospital.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e10aa60>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخدني للمستشفى.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
