acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
0.0,0.0,0.0,0.0,0.0,0.0,"""لما تسافر أول مرة، الناس بتكون صبورة وبتتفهم إنه الأشخاص اللي بيجوا على بلد جديد يبحتاجوا وقت ليتأقلموا."" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو",.
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""بتحتوي البيئة الجديدة على موارد مختلفة ومنافسين مختلفين، لهالسبب رح يحتاج السكان الجدد لميزات أو تعديلات مختلفة ليكونوا منافسين أقويا بعكس اللي كانوا عليه من قبل.""",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب ""للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، شوف Asociacion Argentina de Polo."" بطريقة تناسب العوام أكتر",.
1.0,0.011626583524048328,0.06335451826453209,0.0,0.0,0.0,"""بعد كل شي، القائد هو المسؤول بالنهاية عن نجاح وفشل الفريق."" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة",".

في كرة القدم، القائد هو اللاعب الذي يختاره المدرب ليكون قائدًا للفريق، وهو من يتولى مسؤولية قيادة الفريق على أرض الملعب. القائد هو من يوجه زملائه اللاعبين، ويحفزهم، ويقودهم نحو تحقيق الأهداف. في بعض الأحيان، قد يكون القائد هو اللاعب الأكثر خبرة أو مهارة، لكن في بعض الأحيان قد يكون اللاعب الذي يتمتع بالشخصية القيادية القوية.

في كرة القدم، القائد هو من يتحمل مسؤولية النجاح أو الفشل للفريق، فهو"
1.0,0.0790938064455986,0.139884352684021,0.004154779016971588,0.0003286172873925852,0.0005811885733342237,"""السيدات: من الأفضل تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الفعلية."" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي", على معنى سلبي
0.0,0.0,0.0,0.0,0.0,0.0,"""بتعتمد العديد من الإيقاعات المرصودة بعلم وظايف الأعضاء والسلوك كتير على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية."" رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي",.
0.0,0.0,0.0,0.0,0.0,0.0,"كمل هالقسم بقصة: ""بتضم معظم رحلات البلطيق المتميزة بإقامة طويلة بسانت بطرسبرغ بروسيا.""",
0.0,0.0,0.0,0.0,0.0,0.0,"""لما يتربى الولد مع حيوانات غير بشرية ببلش يعمل حركات (ضمن الحدود الجسدية) بتشبه تمامًا حركات الحيوانات متل خوفه من البشر أو لا مبالاته تجاههم."" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو: ""نظريتين منتشرين للمحتوى هن التسلسل الهرمي لنظرية الاحتياجات لماسلو ونظرية العامل التاني لهيرتسبرج.""",
0.0,0.0,0.0,0.0,0.0,0.0,"""توصلت لهيدا الاستنتاج بسبب التعليقات الإيجابية والتشجيعات الكتيرة اللي بعتلها ياها رجال ونسوان شجعوها على اعتبار أدوية منع الحمل ضرورة طبية."" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي",
0.0,0.0,0.0,0.0,0.0,0.0,"شو الآثار يلي بتترتب على ""وهيدا الشي ممكن يتحقق بسهولة باستعمال منبه هادي نسبيًا حتى ترجع لوعيك بدون ما تفيق تمامًا."", إذا حدا حكالك هيك؟",
0.0,0.0,0.0,0.0,0.0,0.0,"""سافروا بعربية راجعين على باريس بين عدد كتير كبيرر الناس عم يصرخوا ويهتفوا ضد الملك والملكة."" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",
0.0,0.0,0.0,0.0,0.0,0.0,"""اكتشف الدكتور توني مول مرض السل شديد المقاومة للأدوية (XDR-TB) بمنطقة كوازولو ناتال بجنوب إفريقيا."" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة",.
0.0,0.0,0.0,0.0,0.0,0.0,"كمل هالقسم بقصة: ""فكرة التزلج قديمة كتير - وبيرجع تاريخ لوحات الكهوف يلّي بتصور المتزلجين لـ 5000 قبل الميلاد!""",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على نفس النسق: ""بيواجه بعض المسافرين اللي تأقلموا بسرعة مع الثقافة الجديدة صعوبة خاصة بإعادة التكيف مع ثقافتهم الأصلية.""",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""دايما بتسمع بهالمكان صوت البياعين والسياح. قصة الصوت والضو بتشبه قصص الحكايات.""",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على نفس النسق: ""ما ممكن تتضمن الوجبات الرومانية القديمة المأكولات يلّي اجت على أوروبا من أمريكا أو من آسيا بالقرون اللاحقة.""",
0.0,0.0,0.0,0.0,0.0,0.0,"عمين بيتوجه نوع هلجملة هاي؟ ""بتحصل النباتات على غذائها من الشمس عن طريق التمثيل الضوئي. بافضافة إلى إنها بتوفر الفي."" برر جوابك",.
0.0,0.0,0.0,0.0,0.0,0.0,"""بتطابق تكوين هيدي البلورات مع يلّي موجودة ببَول الحيوانات الأليفة المصابة عند مقارنتها بالتحليل الطيفي بالأشعة تحت الحمرا (FTIR)."" عمين بيتوجه نوع هلجملة هاي؟ برر جوابك",.
1.0,0.1044623851776123,0.2899480052292347,0.0,0.0,0.0,"""والقتلى هنّي نيكولاس ألدن، 25 سنة، وزاكاري كوديباك، 21 سنة، وكان كودباك هو السايق."" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي", على معلومات عن القتلى.
1.0,0.0236763134598732,0.06433738209307194,0.0,0.0,0.0,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب ""للمقارنة بين عدد السكان، فهيدا بفاجئ كتير ناس: في عدد أكبر من الأمريكيين الأفارقة عايشين بالولايات المتحدة أكتر من عدد المواطنين الكنديين.""","

هو رأي سلبي"
1.0,0.0159612987190485,0.037550473818555474,0.0,0.0,0.0,"""تذكر إنو بالرغم من إنو الموسيقى بالمسارح الرئيسية يمكن تكون انتهت، يمكن تلاقو أقسام من المهرجان بتضل تشغل الموسيقى لوقت متأخر من الليل."" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي", على معلومات عن المهرجان.
0.0,0.0,0.0,0.0,0.0,0.0,"اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""في أكتر من نوع نبيد الفرنسي، بس النبيد النيوزيلندي والأسترالي ممكن يكونوا أفضل للسفر.""",
0.0,0.0,0.0,0.0,0.0,0.0,"""وهربوا كل الولاد من مكان وقوع الحادث."" رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو",.
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب ""بيعتمد مطبخ مايوركا، متل مطابخ المناطق المماثلة بالبحر الأبيض المتوسط، على الخبز والخضرا واللحمة (خاصة لحم الخنزير)، وبيستعمل زيت الزيتون بكل شي."" بطريقة تناسب العوام أكتر",.
0.0,0.0,0.0,0.0,0.0,0.0,"""إذا بتزور القطب الشمالي أو المناطق القطبية الجنوبية بالشتا، فرح تختبر الليل القطبي، يلّي بيعني أن الشمس ما بتشرق فوق الأفق."" رد على نفس النسق",
0.0,0.0,0.0,0.0,0.0,0.0,"""سافر أكتر من 4 ملايين شخص على روما ليحضرو الجنازة."" رد على نفس النسق",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب ""غرقت كل السفن، من عدا سفينة بريطانية وحدة. قُتل 200 أمريكي وألماني تقريباً."" بطريقة تناسب العوام أكتر",.
