estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,True,في شي مضيفات بيحكوا ياباني؟,['في مضيفات بيحكوا ياباني؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e88cc1c0>,84.96364166597652,83.40022371125656,0.016917419645317233,0.023240746930241585,0.727920651435852,0.9925143010914326,0.722471656609875,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nهل توجد مضيفات يتحدثن اليابانية ؟\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,قهوة مع كريما وسكر، لو سمحت.,['قهوة مع قشطة وسكر، إذا بتريد.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e888b9a0>,22.03359678996931,33.34116060723688,0.3626071058439919,0.814693033695221,0.4450843334197998,0.9944202078040689,0.4426008553296528,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nقهوة مع القشدة والسكر ، من فضلك .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,في شي مضيفة بتحكي ياباني؟,['في مضيفات بيحكوا ياباني؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e888b610>,23.462350320527996,37.391233286134074,0.016917419645317233,0.023240746930241585,0.727920651435852,0.9925143010914326,0.722471656609875,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nهل هناك مضيفات يتحدثن اليابانية ؟\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,ضيعت بطاقة الاستلام تبعي.,['ضاعت بطاقة المطالبة.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e888b280>,10.229197414177778,34.99323022345393,0.0,0.0754009261727333,0.0,0.1733093522489071,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nفقدت بطاقة المطالبة .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,خلينا نلتقي لناقش هالموضوع بشكل أوسع.,['خلينا نجتمع لنناقش الموضوع أكتر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e888bd00>,5.6578916063256015,31.084247846000878,0.2849317838063712,0.4543282687664032,0.6271495819091797,0.9781694337725639,0.6134585514268025,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nدعنا نجتمع لنبحث الأمر أكثر .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,بدي شوف الميناء.,['بدي شوف المينا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e888b700>,45.48019047027906,77.23312974827556,0.25245067646856256,0.28339213132858276,0.8908175230026245,0.9853397905826569,0.8777579515627671,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nأريد أن أرى الميناء .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,وين أقرب صيدلي؟,['وين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8857f10>,64.34588841607616,81.91459079780293,0.10177253037471079,0.1733510047197342,0.5870893597602844,0.523303858935833,0.3072261275027244,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nأين أقرب صيدلية ؟\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,شايفه كتير حلو.,['أظن إنو بجنن.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8857940>,6.567274736060395,5.114335520918786,0.09103292223408888,0.09443553537130356,0.9639689326286316,0.9718515602871776,0.9368347112435007,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nأظن أنه بديع المنظر .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟,['شو رح يعرضوا بقاعة الحفلات اليوم؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8857850>,26.79020940442022,54.12269519668384,0.24809741282279774,0.2789371907711029,0.889438271522522,0.9867475256323814,0.8776510136275908,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,خدني عالمستشفى.,['خدني ع المستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e88578b0>,22.957488466614336,82.90816326530613,0.4547514403638786,0.5670303106307983,0.801987886428833,0.9845479652285576,0.7895955417214591,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nخذني إلى المستشفى .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,لا، مو مشكلة. أنت هون، على كل حال.,['آوه ، الشغلة بسيطة ، إنت هون ، عكل حال .'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8857760>,2.908317710573757,30.766118250940423,0.8403771964263527,0.9645041227340698,0.8713049292564392,0.9956746308598667,0.8675362138037874,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nآوه , الأمر بسيط ، هل أنت هنا ، على أية حال .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,كنت المفروض تسافر برحلة رقم تمانة اتنين صفر، يللي أقلعت من ربع ساعة. مو مشكلة. فيني دبرلك رحلة تانية.,['كان لازم تسافر على الطيارة رقم تمانة اتنين صفر يلي أقلعت من خمسطاعش دقيقة. طيب. فيني نظم رحلة تانية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8857670>,33.22106557236827,45.15370117045842,0.8012601382453965,0.9359747171401978,0.8560702800750732,0.9959797002375126,0.8526286209314149,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nكان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,السن عم يتحرك.,"['إن ""السنة"" متلقلقة.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e88575e0>,3.7477767366779213,16.36762919706908,0.0023709919368591903,0.0326499380171299,0.07261857390403748,0.07782131340354681,0.005651272798704726,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nإن "" السنة "" متقلقلة .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,مقعد لغير المدخنين، رجاءً.,['مقعد ممنوع التدخين، لو سمحت.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e88571f0>,9.030367376343264,19.230306825453376,0.000569602628417154,0.14549095928668976,0.003915037959814072,0.8343354156240821,0.003266454823385532,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nمقعد ممنوع به التدخين ، من فضلك .\nTranslation:'}]}]",,syr,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,بأديش الفطر التازا؟,['قديش حق الفطر الطازة؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8857100>,13.134549472120794,33.67329725870165,0.0032680197076963013,0.005587561056017876,0.5848740935325623,0.9877899279817939,0.5777327387289466,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.\nكم يكلف عش الغراب الطازج ؟\nTranslation:'}]}]",,syr,False,None,None,None
