estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,chat_preamble,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,True,هل توجد مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفات يتحدثن اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e866cf10>,67.09489882833027,67.74581945310446,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفي شي مضيفات بيحكوا ياباني؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,قهوة مع القشدة والسكر ، من فضلك .,['قهوة مع كريمة وسكر، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e866f0d0>,15.307938151800226,53.704616521871465,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nقهوة مع كريما وسكر، لو سمحت.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,هل هناك مضيفات يتحدثن اليابانية ؟,['هل هناك مضيفة تتحدث اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e866f6d0>,21.386638885976566,56.41649640864597,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nفي شي مضيفة بتحكي ياباني؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,فقدت بطاقة المطالبة .,['أضعت بطاقة الاستلام الخاصة بي.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e866f0a0>,9.535414040914192,33.79425068531068,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nضيعت بطاقة الاستلام تبعي.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,True,دعنا نجتمع لنبحث الأمر أكثر .,['دعنا نلتقي لنناقش هذا الموضوع بشكل أوسع.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e866f130>,3.377156414337854,18.319938080165404,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخلينا نلتقي لناقش هالموضوع بشكل أوسع.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أريد أن أرى الميناء .,['أريد أن أرى الميناء.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8631bb0>,80.91067115702207,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nبدي شوف الميناء.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أين أقرب صيدلية ؟,['أين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8631b50>,80.91067115702207,86.21870109546165,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nوين أقرب صيدلي؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,أظن أنه بديع المنظر .,['أراه جميلًا جدًا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e86317c0>,0.0,9.383903133903136,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nشايفه كتير حلو.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,ماذا سيعرض في قاعة الحفلات الموسيقية اليوم ؟,['ماذا سيُعزف في قاعة الحفلات الموسيقية اليوم؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8631850>,58.56596027429396,76.3832485725135,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nشو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,False,خذني إلى المستشفى .,['خذني إلى المستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3e8631fd0>,75.98356856515926,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.\nخدني عالمستشفى.\nTranslation:'}]}]",,0,0,0,0,0,ar,False,None,None,None
