estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
OpenAIAPI:gpt-4o-2024-08-06,True,كاين مضيفات يهدرو اللغة اليابانية؟,['هل كاينين مضيفات اللي يهدروا اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d2d813e50>,27.379285619165262,52.92645399850774,0.6478771690258291,0.97420734167099,0.6650300621986389,0.9955645115114748,0.6620803290132337,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,قهوة بالكريمة و السكر، من فضلك.,['قهوة بالحليب والسكر، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bed190>,40.35278637463991,63.1377172278792,0.02949514903969397,0.12018750607967377,0.24540944397449493,0.18729584710672498,0.04596416969719339,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,كاين مضيفة تهدر اللغة اليابانية؟,['هل كاين شي مضيفة تحكي اليابانية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bed0d0>,28.646290158800984,44.89874078942745,0.00017696229229727245,0.001205315114930272,0.14681828022003174,0.9968490927130915,0.14635566943103506,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,ضاعلي بطاقة الاستلام ديالي.,['راني خسرت البطاقة تاعي.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bed7c0>,4.990049701936832,18.19247614811605,0.6217293248952416,0.9920931458473206,0.6266844272613525,0.9962487313896418,0.6243335656407667,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,ننجحوا في تعميق السؤال.,['خلينا نتلاقاو باش نهضرو على هاد الموضوع أكثر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bed910>,2.8398387225677895,10.677976385565536,0.005825614037470728,0.006186759099364281,0.9416261315345764,0.9973041279008612,0.9390876279187523,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,راني حاب نشوف الميناء.,['حاب نشوف الميناء.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bed7f0>,77.88007830714052,79.82725870401055,0.4572729617956526,0.6965039968490601,0.6565259695053101,0.9633780997246504,0.6324827409219094,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,وين راهي الصيدلية القريبة من هنا؟,['وين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bed820>,7.64649370538093,19.084217461154935,0.0018837157737774946,0.003208567388355732,0.5870893597602844,0.10494088428094983,0.06160967656518093,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,نظن بلي رائع.,['نظنها مناظر طبيعية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bedd30>,7.809849842300637,15.90403811999195,0.00034803478026353835,0.039485491812229156,0.008814244531095028,0.9910660287132487,0.00873549832353982,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,واش راهو يصرا في صالة الحفلة اليوم؟,['وش كاين في قاعة الحفلات اليوم؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39beddc0>,8.139165682360764,27.53389725618839,0.8268499874934037,0.8666806221008301,0.9540423154830933,0.9855125417234376,0.940220667243457,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",,(),dza,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,اديني للمستشفى.,['وديني للمستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39bedca0>,75.98356856515926,82.91201853701854,0.00038054004620092716,0.001814872259274125,0.20967869460582733,0.032422928838059306,0.006798397394061909,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",,(),dza,False,None,None
