estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
OpenAIAPI:gpt-4o-2024-05-13,لما سافرت بره في البداية، كان الناس ممكن صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد لازم يتأقلموا على الوضع.,['لما سافرت بره في الأول، يمكن الناس كانوا صبورين ومتفاهمين، عارفين إن المسافرين في بلد جديدة محتاجين يتأقلموا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0497580>,38.220152340395856,51.49274022315815,0.7860314552793568,0.9881196022033691,0.7954820990562439,0.9899386569159105,0.7874784807403874,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بسبب أن البيئة الجديدة دي فيها موارد ومنافسين مختلفين، المجموعة حديثة العهد دي هتحتاج خواص مختلفة أو سبل تكيف عشان تبقى منافس أقوي لو عملنا مقارنة بالقوة اللي احتاجتها قبل كده.,['نظراً لاحتواء البيئة الجديدة دي على موارد ومنافسين مختلفين، المجموعة الجديدة هتحتاج خواص مختلفة أو طرق تكيف عشان تبقى منافس أقوى مقارنة باللي كانت محتاجاه من قوة قبل كده.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475b80>,52.360128304538854,60.716266291322086,0.4447324094346392,0.9887052178382874,0.44981294870376587,0.9893800760037266,0.4450359693759922,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة حديثة العهد إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,لو عاوز تعرف أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، ادخل اتفرج على رابطة البولو الأرجنتينية.,['علشان تعرف أخبار عن البطولات وأماكن شراء تذاكر ماتشات البولو، شوف رابطة البولو الأرجنتينية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c04757c0>,63.79980631471515,69.79570556915964,0.8830491754397514,0.9906021356582642,0.891426682472229,0.9915040662745014,0.8838531804568038,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nللحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.,['في آخر الموضوع، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c04752e0>,14.569814203855376,34.2352373627776,0.0,0.060096077620983124,0.0,0.0795848947018385,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,بالنسبة للستات: بدون ما نبص على الحالة الاجتماعية الفعلية، لازم الستات إللي هيسافروا  يعلنوا إنهم متزوجات.,['الستات: بغض النظر عن الحالة الاجتماعية الفعلية، لازم الستات اللي بيسافروا يعلنوا إنهم متجوزين.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475700>,56.020770968793016,59.16234485495101,0.8322029315771857,0.9898450374603271,0.8407406210899353,0.9905684017576277,0.8328110933257725,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nالنساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلنن إنهن متزوجات.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,كتير من الإيقاعات اللي بتترصد في علم وظائف الأعضاء والسلوك بتعتمد بشكل كبير في أوقات كتيرة على وجود دورات ذاتية وإنتاجها عن طريق الساعات البيولوجية.,['بيعتمد كتير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كتير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475640>,55.91068985873377,65.48097836436024,0.07591178069717985,0.760631263256073,0.09980102628469467,0.7872591409832239,0.07856927022213288,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nيعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,معظم رحلات البلطيق المتميزة بيكون فيها ميزة الإقامة الدائمة في سانت بطرسبرغ بروسيا.,['معظم رحلات البلطيق المميزة بتبقى فيها إقامة طويلة في سانت بطرسبرغ، روسيا.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475c40>,43.41149620147361,52.83419810280535,0.5065823977877884,0.9578507542610168,0.5288740396499634,0.9615282940212637,0.5085273530967634,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nتتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,لما بيتربى عن طريق حيوانات غير بشرية، الطفل الوحشي بيظهر سلوكيات (ضمن الحدود المادية) تشبه أوي سلوكيات حيوان الرعاية الخاصة، زي الخوف من البشر أو عدم الاكتراث بهم.,['لما بيتربى وسط حيوانات مش بشرية، الطفل الوحشي بيظهر سلوكيات (في حدود معينة) شبه سلوكيات الحيوان اللي بيرعاه، زي الخوف من البشر أو عدم الاكتراث بيهم.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475d90>,49.40642650429277,59.77158169875718,0.8131994095397559,0.9800311326980591,0.82976895570755,0.9811005512019619,0.8140867798149537,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,نظريتين مشهورين للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.,['نظريتين شائعين للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475c70>,86.75979125638379,89.9349791734278,0.0009465808363710027,0.10427024960517883,0.009078148752450943,0.1492198258638382,0.0013546397760067497,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.\nTranslation:'}]}]",False,,egy,False,None,None,None
OpenAIAPI:gpt-4o-2024-05-13,وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيشجعوا أن أدوية منع الحمل حاجة طبية ضرورية.,['هي وصلت للاستنتاج ده بسبب كثرة التعليقات الإيجابية والتشجيعات اللي بعتها لها بنات وولاد بيشجعوا اعتبار أدوية منع الحمل ضرورة طبية.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0475ca0>,58.42148803157109,66.51246247233506,0.7568466766016257,0.9876821637153625,0.7662856578826904,0.988431120174937,0.7574205911949762,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nلقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.\nTranslation:'}]}]",False,,egy,False,None,None,None
