estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,documents,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r-plus,Are there any stewardesses who speak Japanese?,['Is there any hostess who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4639c700>,12.549310621989482,52.60763944473381,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه أى مضيفة بتتكلم ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,"Coffee with cream and sugar, please.","['Coffee with cream and sugar, please.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d46405b20>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة والسكر، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,Is there any stewardess who speaks Japanese?,['Is there any hostess who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d464054f0>,59.54165059120785,77.23978499599137,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه اى مضيفة بتتكلم ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,I lost my claim tag.,['I lost my receipt.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d46405550>,32.46679154750991,41.54928171114026,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nضيعت ورقة الاستلام بتاعتي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,Let's get together to discuss this further.,"[""Let's be together so we can discuss this further.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d46405b80>,31.702331385234313,66.6748263459342,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخلينا نكون سوا عشان نناقش ده اكتر .\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,I want to see the harbor.,['I want to see the harbor.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635ee20>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nعاوز أشوف المينا.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,Where's the nearest chemist?,['Where is the nearest pharmacy?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635edc0>,20.612390921238426,49.448850581948726,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفين أقرب صيدلية؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,I think it's scenic.,['It seems to me that the view is breathtaking.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635ec40>,3.0890553181566975,12.325289924717724,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمتهيألي ان المنظر خلاب .\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,What is playing at the concert hall today?,['What will be played in the concert hall today?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635e850>,41.11336169005198,62.45523336577436,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,Take me to the hospital.,['Take me to the hospital.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635e820>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخدني للمستشفى.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,"Oh, it's nothing. You're here, anyway.","[""Oh, no, it's nothing. The important thing is that you're here, anyway.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635e790>,46.754720981375606,72.27208648272146,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nأوة، لا ولا حاجه . المهم انك هنا، على اى حال .\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r-plus,"You were supposed to take flight eight two zero, which took off fifteen minutes ago. All right. I can arrange another flight for you.","['You were supposed to take flight eight two zero, which took off fifteen minutes ago. Anyway, I can arrange a new flight for you.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4635ed30>,75.46697757057083,83.54316951586075,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nانت كان المفروض تاخد الرحلة تمانية اتنين صفر، اللي اقلعت من خمستاشر دقيقة . على الى حال انا اقدر ارتب رحلة جديدة عشانك .\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
