acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations
0.0,0.0,0.0,0.0,0.0,0.0,"رد على نفس النسق: ""ولو غبتي لحظة من قبالي""",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع صيغ ""كل البشر خلقان من ادم وحوا"" بطريقتك وخلي المعنى العام متل ما هو",.
0.0,0.0,0.0,0.0,0.0,0.0,"""بدي تحبيني وتموتي فيني"" اكتوب قصة بتبلش بهالسطر",.
0.0,0.0,0.0,0.0,0.0,0.0,"رد على النسق يلي ببلش هيك: ""كيف بقدر شوفا حدي""",؟
0.0,0.0,0.0,0.0,0.0,0.0,"كمل هالقسم بقصة: ""مر الشتي والصيفية وبعده عم يعذب فيي""",
0.0,0.0,0.0,0.0,0.0,0.0,"""آآآآآآآآه .. آآآآه"" شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""امحي فيهن أيّ حزن تاني""",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع صيغ ""اجرحلي قلبي ولا تداوية امشي على جرحي ولا تدارية"" بطريقتك وخلي المعنى العام متل ما هو",.
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب ""ما تخلي حبه يمحيكي لازم تنسيه"" بطريقة تناسب العوام أكتر",.
0.0,0.0,0.0,0.0,0.0,0.0,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""أصلي وما في متله لك كل شي بيلبقله""",
0.0,0.0,0.0,0.0,0.0,0.0,"رد على نفس النسق: ""أنتي ملاك هربان من الجنة من جوا""",
0.0,0.0,0.0,0.0,0.0,0.0,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""لـبـعـتلك رســالـة يـالـي سـكـنتي iiبـالـي عـــن حــالـي لـكـتـبها وابـعـتها iiلـحـالي""",
1.0,0.0236763134598732,0.06433738209307194,0.0,0.0,0.0,"بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""مفارقني وغيابك عني طلوع الروح""","

هو رأي سلبي"
0.0,0.0,0.0,0.0,0.0,0.0,"كمل هالقسم بقصة: ""وتعا حبك تعا عم قلك تعا""",
0.0,0.0,0.0,0.0,0.0,0.0,"اكتوب قصة بتبلش بهالسطر: ""ولو ضدي العالم كله عنك لا ما بتخلا""",
0.0,0.0,0.0,0.0,0.0,0.0,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""حتى الشمس بنهار خجلانة بوجودك""",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع صيغ هاد بطريقتك وخلي المعنى العام متل ما هو: ""حتى يطلع فجر جديد وبستناه""",
0.0,0.0,0.0,0.0,0.0,0.0,"""كل البشر من طين إلا أنتي من سكر"" اكتوب قصة بتبلش بهالسطر",.
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب ""لما سألت ليش مفارق ما رديت"" بطريقة تناسب العوام أكتر",.
0.0,0.0,0.0,0.0,0.0,0.0,"""والثوب الزهري موتني بقهري"" اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع كتوب هلجملة بطريقة تناسب العوام أكتر: ""يا ريتني نسمة وعبلادك فيها تروح""",
0.0,0.0,0.0,0.0,0.0,0.0,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""عن قصة عاشق غير الكل نطقت هيي الكلام""",
0.0,0.0,0.0,0.0,0.0,0.0,"رجاع صيغ ""أنـا قـلبي ضـيع دربـه قـالوا عندك iiحبه ما تــردي لـه قــلـبـه مــنــه لا iiتـنـشـالي"" بطريقتك وخلي المعنى العام متل ما هو",.
1.0,0.7693104147911072,0.9553757458925247,0.6386312246322632,0.49130565232039913,0.610132782583305,"شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""عيوني خلص ماضلّ فيها دموع""","

أول شي، هالشي بيصير بسبب الإرهاق الشديد، يعني الشخص ما بيقدر يفرج دموع بسبب الإرهاق. ثانيا، ممكن يكون بسبب مشاكل عاطفية أو نفسية، يعني الشخص مشغول بالتفكير في مشاكل عميقة وبيحاول يبتعد عنهم. ثالثاً، ممكن يكون بسبب مشاكل في العين، يعني العين مش بتقدر تفرج الدموع بسبب مشاكل صحية."
0.0,0.0,0.0,0.0,0.0,0.0,"""والثوب النيلي ضلي مقابيلي"" رجاع كتوب هلجملة بطريقة تناسب العوام أكتر",؟
1.0,0.026615744456648827,0.04544734465889633,0.7576598525047302,0.02016568101932814,0.03443362845099103,"رد بطريقة إبداعية بيتضمن هالجملة كعنصر أساسي: ""كل شي مضى ماله لحياتي رجوع""","

كل شي مضى ماله لحياتي رجوع، بس حبك ليا ما يروح، وياك ليا كل لحظة سعيدة، وياك ليا كل لحظة حلوة."
0.0,0.0,0.0,0.0,0.0,0.0,"""مابدي اعمل شى تانى بدي احبك ويصيرو بيتي"" رد على نفس النسق",
1.0,0.16968855261802673,0.9126268997788429,0.9366117119789124,0.15893228577079377,0.8547770429998693,"اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""كل الورد بيغار من حمرة خدودك""","

كل الورد بيغار من حمرة خدودك، وبيطلعك على الدنيا بضحكك."
