acc,prob,macro_prob,dialectness,score,macro_score,prompts,generations,_3,_4,_5
0.0,0.0,0.0,0.0,0.0,0.0,"Reply in Palestinian Arabic. Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities",,Start,reply in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,"Explain a common misconception about your topic in Palestinian Arabic.
Topic: Using AI to Augment Human Capabilities",,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,"Explain a common misconception about your topic.
Topic: Using AI to Augment Human Capabilities. Write in Palestinian Arabic.",,End,write in {language_requested},Stand alone
1.0,0.0074696666561067,0.1023238120833411,0.0,0.0,0.0,Write in Palestinian Arabic. Explain how the Gini index is calculated.,"

الـجينيّ إِنْدِكس يُقاس بـلغْنَةِ التّوزيعِ لِلكَثْرَةِ، وَيُعَبّر عَنْ مدى التّفاوتِ فِي التّوزيعِ لِلكَثْرَةِ. يُقاس بـلغْنَةِ التّوزيعِ لِلكَثْرَةِ بـلغْنَةِ التّوزيعِ لِلكَثْرَةِ، وَيُعَبّر عَن",Start,write in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Explain in Palestinian Arabic how the Gini index is calculated.,"

The Gini index is calculated by dividing the sum of the absolute differences between the income shares of each group by the total number of groups.",Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,Explain how the Gini index is calculated. Respond in Palestinian Arabic.,,End,respond in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Answer in Palestinian Arabic. Write four articles on the topic of cryptocurrency with a minimum of 300 words each.,,Start,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Write four articles in Palestinian Arabic on the topic of cryptocurrency with a minimum of 300 words each.,,Middle,in {language_requested},Integrated
0.0,0.0,0.0,0.0,0.0,0.0,Write four articles on the topic of cryptocurrency with a minimum of 300 words each. Answer in Palestinian Arabic.,,End,answer in {language_requested},Stand alone
0.0,0.0,0.0,0.0,0.0,0.0,Answer in Palestinian Arabic. Generate an essay of at least 500 words that argues in favor of regulating artificial intelligence.,,Start,answer in {language_requested},Stand alone
