estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,documents,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,Are there any stewardesses who speak Japanese?,['Do any of the flight attendants speak Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e07ae20>,16.784459625186194,39.12306777338488,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه مضيفات يتكلمون ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,"Coffee with cream and sugar, please.","['A coffee with cream and sugar, please.']",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e130>,72.59795291154772,92.96290667219833,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة و السكر، لو سمحت.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Is there any stewardess who speaks Japanese?,['Is there a flight attendant who speaks Japanese?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e0a0>,40.35278637463991,61.768819267387556,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفيه مضيفة تتكلم ياباني؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I lost my claim tag.,['I missed the catch signal.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e1f0>,9.652434877402245,12.939319055464033,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nضيعت علامة الاستلام.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Let's get together to discuss this further.,"[""Let's get together to discuss this further.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e730>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخلنا نجتمع عشان نناقش هذا اكثر.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I want to see the harbor.,['I want to see the port.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04e910>,55.780028607687655,67.42333511310899,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nابغى اشوف الميناء.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Where's the nearest chemist?,['Where is the nearest pharmacy?'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e04ed90>,20.612390921238426,49.448850581948726,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوين اقرب صيدلي؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,I think it's scenic.,"[""I think it's theatrical.""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e05ef40>,41.11336169005198,56.203430943610144,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاعتقد انه مسرحي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,What is playing at the concert hall today?,"[""What's being played today in the concert hall?""]",['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e05eeb0>,16.59038701421971,53.15920076083314,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوش ينعزف اليوم في قاعة الاحتفالات؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
Blobheart:command-r,Take me to the hospital.,['Take me to the hospital.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3e05e8b0>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nخذني للمستشفى.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
