estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,from_cache,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r,لما سافرت بره في البداية، كان الناس ممكن صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد لازم يتأقلموا على الوضع.,['لما سافرت بره أول مرة، كان الناس صابرين ومتساهلين عارفين إن اللي رايح لبلد جديدة محتاج يتأقلم.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecc66640>,17.15379577543341,33.773650868393105,0.6938438355235625,0.9871707558631897,0.7028610110282898,0.9880410349578597,0.694455520767919,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
عندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,بسبب أن البيئة الجديدة دي فيها موارد ومنافسين مختلفين، المجموعة حديثة العهد دي هتحتاج خواص مختلفة أو سبل تكيف عشان تبقى منافس أقوي لو عملنا مقارنة بالقوة اللي احتاجتها قبل كده.,['بما إن البيئة الجديدة دي فيها موارد ومنافسين مختلفين، هتحتاج المجموعة اللي داخلة عليها صفات مختلفة أو وسائل تكيف عشان تبقى منافس أقوى من اللي كانت محتاجاه قبل كده.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecad82e0>,45.37878934018121,57.761744985022624,0.6140698345688094,0.9894980192184448,0.6205872297286987,0.9899654019682202,0.6143598863347155,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
نظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة حديثة العهد إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة حديثة العهد إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,لو عاوز تعرف أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، ادخل اتفرج على رابطة البولو الأرجنتينية.,['علشان تعرف أخبار بطولات بولو وأماكن شراء تذاكر ماتشات البولو، شوف الرابطة الأرجنتينية للبولو.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecad8580>,35.95021478425863,50.43026246634342,0.8944845118665938,0.9886564016342163,0.9047476053237915,0.9897182561689988,0.8954452222141405,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nللحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,وبعد كل ده، القائد هو اللي بيتحمل النجاح والفشل للفريق.,['ففي الأخر القائد هو المسؤول الأول عن نجاح أو فشل الفريق.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecad8b20>,8.926817707080568,32.16643484336835,0.0,0.0399000309407711,0.0,0.04320205934345722,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
ففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,بالنسبة للستات: بدون ما نبص على الحالة الاجتماعية الفعلية، لازم الستات إللي هيسافروا  يعلنوا إنهم متزوجات.,['الستات لازم يقولوا إنهم متجوزين حتى لو كانوا مش كدة فعلياً.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecb34e20>,5.437470603129672,18.359569225052976,0.9736119099443528,0.9864213466644287,0.9870142340660095,0.9871657312614843,0.9743466281372661,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
النساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلنن إنهن متزوجات.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nالنساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلنن إنهن متزوجات.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,كتير من الإيقاعات اللي بتترصد في علم وظائف الأعضاء والسلوك بتعتمد بشكل كبير في أوقات كتيرة على وجود دورات ذاتية وإنتاجها عن طريق الساعات البيولوجية.,['بتعتمد كتير من الإيقاعات اللى بنلاحظها فى الفسيولوجيا والسلوك اعتماد حاسم على وجود دورات ذاتية بينتجها الساعات البيولوجية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecb34d30>,35.77027398704923,47.49581301812619,0.2816350165216388,0.9813112616539001,0.2869986593723297,0.9821903921547346,0.2818873257967916,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
يعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nيعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,معظم رحلات البلطيق المتميزة بيكون فيها ميزة الإقامة الدائمة في سانت بطرسبرغ بروسيا.,['تتميز معظم رحلات بحر البلطيق الرائعة بفترة إقامة طويلة في سانت بطرسبرغ، روسيا.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecb340a0>,33.07997051224901,44.915844123325954,0.0,0.1425430178642273,0.0,0.15028932970017195,0.0,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
تتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nتتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,لما بيتربى عن طريق حيوانات غير بشرية، الطفل الوحشي بيظهر سلوكيات (ضمن الحدود المادية) تشبه أوي سلوكيات حيوان الرعاية الخاصة، زي الخوف من البشر أو عدم الاكتراث بهم.,['لما يتربّي الولد البريّ على إيد حيوانات مش بشر، بيبان سلوكه (في حدود إمكانيات جسده) شبه مماثل للحيوان اللي ربّاه، زي ما يخاف من البشر أو ما يهتمش بيهم خالص.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecb34c70>,5.978465439629917,27.150440498415957,0.6414376451472137,0.9841617345809937,0.6517603993415833,0.9849664487410337,0.6419621259695172,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
عندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nعندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,نظريتين مشهورين للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.,['نظريتين منتشرتين للمحتوى هما الهرم التسلسلي لاحتياجات ماسلو ونظرية العوامل الثانية بتاعة هيرزبرج.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecb34b80>,30.858955062958387,53.04838195420993,0.32173485456543816,0.7642360329627991,0.42098885774612427,0.7842466756701469,0.33015911218157035,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
نظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nنظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.\nTranslation:'}]}]",False,,egy,False,None,None,None
Blobheart:command-r,وصلت للاستنتاج ده عشان التعليقات الإيجابية والتشجيعات اللي بعتها لها ستات ورجالة بيشجعوا أن أدوية منع الحمل حاجة طبية ضرورية.,['وصلت للقرار ده بسبب كمية التعليقات والتشجيعات الإيجابية اللي بتوصلها من ناس، رجالة وستات، بيشجعوها على اعتبار موانع الحمل ضرورة طبية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3ecb34a90>,22.686789615845846,42.32229764589108,0.8228048468821925,0.9857887625694275,0.8346664905548096,0.9864540265407413,0.8233601204264216,"<BOS_TOKEN><|START_OF_TURN_TOKEN|><|USER_TOKEN|>Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
لقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.
Translation:<|END_OF_TURN_TOKEN|><|START_OF_TURN_TOKEN|><|CHATBOT_TOKEN|>","[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nلقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.\nTranslation:'}]}]",False,,egy,False,None,None,None
