acc,prob,macro_prob,dialectness,score,macro_score,_raw_turns,desired_output_dialect,generations
1.0,0.9744164347648621,0.9934614966623485,0.5569202303886414,0.5426722253437255,0.5532788056034396,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""في شي مضيفات بيحكوا ياباني؟""'}]}]",syr,"[' - منتديات طلاب الجامعة العربية المفتوحة\n13-05-2012, 03:09 PM #1\nالموضوع: بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة: ""في شي مضيفات بيحكوا ياباني؟""\nبدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة:\n""في شي مضيفات']"
1.0,0.0008754208101890981,0.009546233341097832,0.8583961129188538,0.0007514578206345955,0.008194449593014741,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رجاع كتوب ""قهوة مع كريما وسكر، لو سمحت."" بطريقة تناسب العوام أكتر'}]}]",syr,"['.\nالموضوع: رجاع كتوب ""قهوة مع كريما وسكر، لو سمحت."" بطريقة تناسب العوام أكتر.\n14-09-2009, 04:22 PM #1\nأنا عايز أرجع أكتب الموضوع ده بطريقة تناسب العوام أكتر من اللي كنت كتبته بيها قبل كده، عشان الناس اللي بتقرا الموضوع']"
1.0,0.18892842531204224,0.25389180378988385,0.2741965055465698,0.05180351401897809,0.0696162453861015,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رجاع كتوب ""في شي مضيفة بتحكي ياباني؟"" بطريقة تناسب العوام أكتر'}]}]",syr,"[' - الصفحة 2 - :: Flying Way ::\n26-04-2010, 02:21 PM رقم المشاركة : [ 31 ]\nرد: رجاع كتوب ""في شي مضيفة بتحكي ياباني؟"" بطريقة تناسب العوام أكتر\nاقتباس: المشاركة الأصلية كتبت بواسطة طيار المستقبل\nاخوي انا عندي سؤال محيرني\nانا سمعت ان المضيفات']"
0.0,0.0,0.0,0.0,0.0,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""ضيعت بطاقة الاستلام تبعي."" رجاع كتوب هلجملة بطريقة تناسب العوام أكتر'}]}]",syr,"['. | English to Arabic | Law (general)\nArabic translation:""ضاعت بطاقة الاستلام الخاصة بي.""\n17:13 Jan 10, 2018\nEnglish term or phrase: ""I lost my receipt.""\nI lost my receipt. How can I get a copy?\nArabic translation:""ضاعت بطاقة الاستلام الخاصة بي.""\nضاعت بطاقة الاستلام الخاصة بي.\n4 +1 ""ضاعت بطاقة الاستلام الخاصة بي']"
1.0,0.31996580958366394,0.9617796852253377,0.7688302993774414,0.24599940917275376,0.7394453633269378,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'رد على النسق يلي ببلش هيك: ""خلينا نلتقي لناقش هالموضوع بشكل أوسع.""'}]}]",syr,"[' - مدونة م.طارق الموصللي\nرد على النسق يلي ببلش هيك: “خلينا نلتقي لناقش هالموضوع بشكل أوسع.”\nسبتمبر 24, 2018 1:20 م\nأولاً: أنا ما عندي مشكلة إني ألتقي معك وأحكي معك، بس أنا ما عندي وقت أضيعو على كلام فاضي.']"
1.0,0.00515739293769002,0.9797059421543963,0.40020644664764404,0.002064021901558577,0.39208463386919323,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""بدي شوف الميناء."" عمين بيتوجه نوع هلجملة هاي؟ برر جوابك'}]}]",syr,"['.\n2019.09.22T10:44:04+03:00\n2019-09-22T10:44:04+0300\nفيديو| ""بدي شوف الميناء."" عمين بيتوجه نوع هلجملة هاي؟ برر جوابك.\nشاهد أيضاً: ""بدي شوف الميناء."" عمين']"
1.0,0.09341403096914291,0.1085281812120229,0.448436439037323,0.04189025540392466,0.04866799111791685,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'كمل هالقسم بقصة: ""وين أقرب صيدلي؟""'}]}]",syr,"[' - الصفحة 2 - منتديات عالم حواء\n08-03-1427 هـ, 09:11 مساءً\nهلا وغلا فيكم يالغاليات\nأولاً: أشكركم على مروركم وردودكم اللي ترفع المعنويات\nثانياً: بالنسبة للموضوع اللي حطيتوه في توقيعكم (وين أقرب صيدلي)\nأنا حطيت المو']"
1.0,0.4763339161872864,0.9734583925455809,0.9417159557342529,0.4485712491309499,0.9167213005035912,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'شو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""شايفه كتير حلو.""'}]}]",syr,"['\nشو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""حلو كتير.""\nشو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""حلو.""\nشو الآثار يلي بتترتب على هالشي, إذا حدا حكالك هيك؟: ""حلو كتير, الله يخليك.""\nشو الآثار يلي بتترتب على هالشي, إذا']"
1.0,0.42868998646736145,0.9826584011316299,0.6325162649154663,0.27115338904699726,0.6215474215715826,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'عمين بيتوجه نوع هلجملة هاي؟ ""شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟"" برر جوابك'}]}]",syr,"['.\nالموضوع: عمين بيتوجه نوع هلجملة هاي؟ ""شو رح ينعزف بقاعة الحفلات الموسيقية اليوم؟"" برر جوابك.\n12-04-2010, 19:43 #1\nأنا بعتقد أنو الجملة موجهة للجمهور أو للأشخاص اللي بدهم يحضروا الحفلة الموسيقية.\n12-04-2']"
1.0,0.6263397336006165,0.9796489290893078,0.960040807723999,0.6013117037555702,0.9405029491688497,"[{'role': 'User', 'content': [{'type': 'text', 'text': '""خدني عالمستشفى."" رد على نفس النسق'}]}]",syr,"[': ""لا، أنا بخير، بس تعبان شوي.""\n""لا، أنا ما بدي أروح عالمستشفى، أنا تعبان بس.""\n""طيب، أنا جاي.""\n""لا، ما في داعي، أنا تعبان بس.""\n""طيب، أنا جاي، بس ما بدي أروح عالمستشفى.""\n""طيب، أنا جاي، بس ما بدي أروح عالمستشفى']"
