estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,_raw_turns,from_cache,chat_preamble,documents,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,desired_output_dialect,too_few_tokens,error,error_traceback
OpenAIAPI:gpt-4o-2024-08-06,Are there any stewardesses who speak Japanese?,['Are there flight attendants who speak Japanese?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399ab640>,31.76215203205584,60.57693263872327,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nكاين مضيفات يهدرو اللغة اليابانية؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"Coffee with cream and sugar, please.","['Coffee with cream and sugar, please.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995dd90>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقهوة بالكريمة و السكر، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Is there any stewardess who speaks Japanese?,['Is there a flight attendant who speaks Japanese?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995de20>,40.35278637463991,61.768819267387556,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nكاين مضيفة تهدر اللغة اليابانية؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I lost my claim tag.,['I lost my receipt card.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995dd60>,26.269098944241588,40.3256044602941,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nضاعلي بطاقة الاستلام ديالي.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Let's get together to discuss this further.,['We succeed in deepening the question.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995d2b0>,4.196114906296549,9.996043678556752,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nننجحوا في تعميق السؤال.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I want to see the harbor.,['I want to see the port.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995d400>,55.780028607687655,67.42333511310899,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nراني حاب نشوف الميناء.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Where's the nearest chemist?,['Where is the nearest pharmacy from here?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995d2e0>,17.747405280050266,47.104227461458684,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوين راهي الصيدلية القريبة من هنا؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I think it's scenic.,"[""I think it's great.""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995d310>,55.780028607687655,56.561731213934166,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nنظن بلي رائع.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,What is playing at the concert hall today?,"[""What's happening in the party hall today?""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995d7f0>,17.747405280050266,38.040781597771996,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nواش راهو يصرا في صالة الحفلة اليوم؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Take me to the hospital.,['Take me to the hospital.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995de80>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاديني للمستشفى.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"Oh, it's nothing. You're here, anyway.","[""Oh, it's nothing. As long as you're here.""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995da60>,50.389204852596336,61.62200856289094,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nأوه، ماشي حاجة. مادام راك هنا.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"You were supposed to take flight eight two zero, which took off fifteen minutes ago. All right. I can arrange another flight for you.",['You should have taken the flight 820 which left fifteen minutes ago. Yes. I can find you another flight.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d3995d0a0>,22.18294435076556,41.003443281418804,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nكان لازم عليك تدي الرحلة ثمان مئة وعشرون لي راحت عندها خمسة عشر دقيقة. ايه. نقدر نصيبلك رحلة واحدوخرا.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,The tooth is loose.,['The tooth is getting loose.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902dc0>,50.000000000000014,75.19840378751968,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nالسن راهي تنفك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"A non-smoking seat, please.","['Non-smoking area, please.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399024c0>,30.50975216056291,58.403985842965525,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمكان لغير المدخنين، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,How much are fresh mushrooms?,['How much does fresh mushrooms cost?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902970>,36.88939732334405,66.39121881428613,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nشحال يدير الفطر الطازج؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"If possible, I'd rather not have the tooth out.","['If possible, I prefer not to have the tooth removed.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399026d0>,37.868117902707674,58.24950250474542,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاذا ممكن، نفضل متنحيليش الضرسة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,We'd like a room overlooking the lake.,['We want a room overlooking the lake.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902e20>,64.069143843707,74.85844245423003,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nرانا حابين غرفة تطل على البحيرة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"I understand, but I can't say it.","[""I understand, but I can't say it.""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902d60>,100.00000000000004,100.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nراني فاهم، بصح منقدرش نقوله.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I'm looking for some cards that are typically Hawaiian.,['I am specifically looking for Hawaiian cards.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902700>,9.150273711870005,42.967011022590015,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nراني نحوس على بطاقات تع هاواي خصيصا.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"Excuse me. Press the shutter, please.","['Excuse me. Press the capture button, please.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902460>,46.92470064105599,71.63519115279384,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nالمعذرة. اضغط على زر التصوير، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Bonsai sounds like an old person's hobby.,"['Bonsai art, an activity for the elderly.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399021c0>,8.913765521398126,18.67318858319696,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nفن بونساي، يدير نشاط لكبار السن.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Can I have a multiple ticket?,['Can we get multiple tickets?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902850>,8.643019616048525,49.686217228667594,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nنقدر نتحصل على تذاكر متعددة؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"I'd like some apples, please.","['I want apples, please.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399028e0>,41.91742490576712,54.64523150145881,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nراني حاب تفاح، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,You did it.,['I did it.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902820>,59.460355750136046,58.15619830739629,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nدرتها.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,A hundred and thirty-five yen per dollar.,['One hundred and thirty-five yen to the dollar.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902e50>,61.153805769010226,74.75755670343302,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمئة و خمسة و ثلاثون ين للدولار.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Is it still fully booked?,['Is it always full?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902fa0>,15.848738972120703,24.953276224129624,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاذا دايمن معمر؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,What's today's opera?,"[""Who's today's opera?""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902f10>,84.08964152537145,77.06881295408732,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nشكون الأوبرا تع اليوم؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I'd like two round-trip tickets to Oxford.,['I want two round-trip tickets to Oxford.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399024f0>,69.963138207288,78.6684183645843,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nراني حاب تذكرتين ذهاب اياب لأوكسفورد.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Where can I buy a coupon lift ticket?,['Where can I buy a lift ticket?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902af0>,53.849523560640876,74.78752443388915,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nوين نقدر نشري تذكرة الرفع؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Have you ever heard of a Golden Week in Japan?,['Have you heard of the Golden Week in Japan?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902a30>,45.561621331146846,71.8693067819809,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nاذا سمعت بأسبوع الذهب فاليابان؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,It's all the way down the hall.,['He is at the end of the hall.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399029d0>,17.0653267718276,35.439673359246605,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nهو في نهاية الهول.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"Tell me a good spot of this river, please.","['Tell me about a nice place on this river, please.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902370>,37.70063804549471,59.7769539478959,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nقلي على مكان جميل على هاذ النهر، من فضلك.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Our hiking trip should be lots of fun.,['Our trip is going to be amazing.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902400>,6.082317172853824,20.638314773360054,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nالجولة تاعنا رايحا تكون هايلة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,Could you send it to my address in Japan by collect international parcel post?,['Can you send it to my address in Japan with international compensation?'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d399022e0>,47.13585889212891,60.147995942618195,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nتقدر تبعثو لعنواني في اليابان مقابل تعويض دولي؟\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,"The emergency exits are located in the front, middle, and back of this plane.","['The emergency exits are located at the front, in the middle, and at the back of the device.']",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902040>,36.651343611373036,72.47603592419605,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nمخارج الطوارئ جايين فالقدام، فالوسط، و من وراء الجهاز.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,I'm looking for something dressy.,"[""I'm looking for a stylish outfit.""]",['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39902940>,36.72056269893591,46.15815078291155,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from Algerian Arabic into English. Output only the translation, do NOT output anything else before nor after it.\nراني نحوس على لبسة تكون أنيقة.\nTranslation:'}]}]",True,,(),0.0,0.0,0.0,0.0,0.0,en,False,None,None
